,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,196870.1422984189,194883.68212890625
Total Return (%),96.8701422984189,95.17644679910491
CAGR (%),14.545067112144272,14.346824998577667
Volatility (%),28.525337699502117,20.9796401598029
Sharpe Ratio,0.5098999095249324,0.6838451417325192
Max Drawdown (%),-31.380863478463745,-33.676818351141165
Calmar Ratio,0.4635011755532588,0.42601485832142194
Win Rate (%),53.34394904458599,54.77707006369427
Avg Win (%),1.2264406558357535,
Avg Loss (%),-1.3123452992859488,
Total Trades,1257.0,
Alpha (%),0.19824211356660548,0.0
Relative Sharpe,-0.17394523220758684,0.0
Relative Max DD (%),2.29595487267742,0.0
Relative Volatility (%),7.545697539699216,0.0
