,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,94547.62594592186,194883.67193603516
Total Return (%),-5.452374054078146,95.17643659092154
CAGR (%),-1.1177128603315878,14.346823799601793
Volatility (%),18.252696986786844,20.979656373967757
Sharpe Ratio,-0.06123549090530029,0.683844556072129
Max Drawdown (%),-41.703734056958545,-33.67683305453219
Calmar Ratio,0.026801265776465643,0.42601463671985673
Win Rate (%),49.52229299363057,54.77707006369427
Avg Win (%),0.8466828585372923,
Avg Loss (%),-0.8776290507049068,
Total Trades,1257.0,
Alpha (%),-15.464536659933382,0.0
Relative Sharpe,-0.7450800469774294,0.0
Relative Max DD (%),-8.026901002426357,0.0
Relative Volatility (%),-2.726959387180912,0.0
