date,equity,cash,position_value,position,shares
2020-01-02,100000.0,100000.0,0.0,,0
2020-01-03,100000.0,100000.0,0.0,,0
2020-01-06,100000.0,100000.0,0.0,,0
2020-01-07,100000.0,100000.0,0.0,,0
2020-01-08,100000.0,100000.0,0.0,,0
2020-01-09,100000.0,100000.0,0.0,,0
2020-01-10,100000.0,100000.0,0.0,,0
2020-01-13,100000.0,100000.0,0.0,,0
2020-01-14,100000.0,100000.0,0.0,,0
2020-01-15,100000.0,100000.0,0.0,,0
2020-01-16,100000.0,100000.0,0.0,,0
2020-01-17,100000.0,100000.0,0.0,,0
2020-01-21,100000.0,100000.0,0.0,,0
2020-01-22,100000.0,100000.0,0.0,,0
2020-01-23,100000.0,100000.0,0.0,,0
2020-01-24,100000.0,100000.0,0.0,,0
2020-01-27,100000.0,100000.0,0.0,,0
2020-01-28,100000.0,100000.0,0.0,,0
2020-01-29,100000.0,100000.0,0.0,,0
2020-01-30,100000.0,100000.0,0.0,,0
2020-01-31,100000.0,100000.0,0.0,,0
2020-02-03,100000.0,100000.0,0.0,,0
2020-02-04,100000.0,100000.0,0.0,,0
2020-02-05,100000.0,100000.0,0.0,,0
2020-02-06,100000.0,100000.0,0.0,,0
2020-02-07,100000.0,100000.0,0.0,,0
2020-02-10,99850.42238684846,132.01361914825975,99718.4087677002,GLD,673
2020-02-11,99507.19608374787,132.01361914825975,99375.18246459961,GLD,673
2020-02-12,99426.42910071564,132.01361914825975,99294.41548156738,GLD,673
2020-02-13,99991.75690528107,132.01361914825975,99859.74328613281,GLD,673
2020-02-14,100409.01361914826,132.01361914825975,100277.0,GLD,673
2020-02-18,101694.44608374787,132.01361914825975,101562.43246459961,GLD,673
2020-02-19,102286.67910071564,132.01361914825975,102154.66548156738,GLD,673
2020-02-20,102703.94608374787,132.01361914825975,102571.93246459961,GLD,673
2020-02-21,104245.11156531525,132.01361914825975,104113.09794616699,GLD,673
2020-02-24,105180.58115454865,132.01361914825975,105048.56753540039,GLD,673
2020-02-25,103302.91567298127,132.01361914825975,103170.90205383301,GLD,673
2020-02-26,103753.82444068146,132.01361914825975,103621.8108215332,GLD,673
2020-02-27,103774.01361914826,132.01361914825975,103642.0,GLD,673
2020-02-28,99991.75690528107,132.01361914825975,99859.74328613281,GLD,673
2020-03-02,100543.61156531525,132.01361914825975,100411.59794616699,GLD,673
2020-03-03,103699.98320838166,132.01361914825975,103567.9695892334,GLD,673
2020-03-04,103881.69608374787,132.01361914825975,103749.68246459961,GLD,673
2020-03-05,106122.78731604767,132.01361914825975,105990.77369689941,GLD,673
2020-03-06,106163.16567298127,132.01361914825975,106031.15205383301,GLD,673
2020-03-09,106338.14197608185,132.01361914825975,106206.1283569336,GLD,673
2020-03-10,104097.05074378205,132.01361914825975,103965.03712463379,GLD,673
2020-03-11,103726.89868994904,132.01361914825975,103594.88507080078,GLD,673
2020-03-12,99594.67910071564,132.01361914825975,99462.66548156738,GLD,673
2020-03-13,96559.45279761506,132.01361914825975,96427.4391784668,GLD,673
2020-03-16,95455.73320838166,132.01361914825975,95323.7195892334,GLD,673
2020-03-17,96747.89197608185,132.01361914825975,96615.8783569336,GLD,673
2020-03-18,94823.11156531525,132.01361914825975,94691.09794616699,GLD,673
2020-03-19,93032.92910071564,132.01361914825975,92900.91548156738,GLD,673
2020-03-20,94426.04402991486,132.01361914825975,94294.0304107666,GLD,673
2020-03-23,98591.91567298127,132.01361914825975,98459.90205383301,GLD,673
2020-03-24,103370.20951148224,132.01361914825975,103238.19589233398,GLD,673
2020-03-25,101956.91567298127,132.01361914825975,101824.90205383301,GLD,673
2020-03-26,103262.53731604767,132.01361914825975,103130.52369689941,GLD,673
2020-03-27,102596.26361914826,132.01361914825975,102464.25,GLD,673
2020-03-30,103047.17238684846,132.01361914825975,102915.1587677002,GLD,673
2020-03-31,99769.66567298127,132.01361914825975,99637.65205383301,GLD,673
2020-04-01,100711.86156531525,132.01361914825975,100579.84794616699,GLD,673
2020-04-02,102360.70951148224,132.01361914825975,102228.69589233398,GLD,673
2020-04-03,102865.45951148224,132.01361914825975,102733.44589233398,GLD,673
2020-04-06,105712.25690528107,132.01361914825975,105580.24328613281,GLD,673
2020-04-07,105146.92910071564,132.01361914825975,105014.91548156738,GLD,673
2020-04-08,104211.45951148224,132.01361914825975,104079.44589233398,GLD,673
2020-04-09,106930.38526221467,132.01361914825975,106798.3716430664,GLD,673
2020-04-13,108760.94608374787,132.01361914825975,108628.93246459961,GLD,673
