date,action,symbol,shares,price,value,cost,cash_after
2020-02-10,BUY,GLD,673,148.1699981689453,99718.4087677002,149.57761315155028,132.01361914825975
2020-04-20,SELL,GLD,673,159.6999969482422,107478.09794616699,161.2171469192505,107448.894418396
2020-04-20,BUY,EWG,5469,19.59638786315918,107172.64522361755,160.75896783542632,115.49022694301675
2020-04-27,SELL,EWG,5469,19.8555965423584,108590.25749015808,162.88538623523712,108542.86233086586
2020-04-27,BUY,EWC,5107,21.198707580566406,108261.79961395264,162.39269942092895,118.67001749228803
2020-06-01,SELL,EWC,5107,22.846506118774414,116677.10674858093,175.0156601228714,116620.76110595035
2020-06-01,BUY,EWG,5080,22.89701271057129,116316.82456970215,174.47523685455323,129.4612993936462
2020-06-22,SELL,EWG,5080,23.749784469604492,120648.90510559082,180.97335765838625,120597.39304732608
2020-06-22,BUY,EZU,3769,31.91034507751465,120270.09059715271,180.40513589572907,146.89731427765219
2020-07-06,SELL,EZU,3769,32.935787200927734,124134.98196029663,186.20247294044495,124095.67680163383
2020-07-06,BUY,GLD,736,167.97999572753906,123633.27685546875,185.44991528320313,276.9500308818824
2020-07-20,SELL,GLD,736,170.94000244140625,125811.841796875,188.7177626953125,125900.07406506158
2020-07-20,BUY,EWG,4929,25.47863006591797,125584.16759490967,188.3762513923645,127.53021875955164
2020-08-03,SELL,EWG,4929,25.303997039794922,124723.40140914917,187.08510211372376,124663.846525795
2020-08-03,BUY,GLD,669,185.63999938964844,124193.1595916748,186.2897393875122,284.39719473267905
2020-08-24,SELL,GLD,669,181.0,121089.0,181.6335,121191.76369473268
2020-08-24,BUY,EWC,4714,25.64263153076172,120879.36503601074,181.3190475540161,131.07961116792285
2020-09-14,SELL,EWC,4714,25.318723678588867,119352.46342086792,179.02869513130187,119304.51433690454
2020-09-14,BUY,GLD,647,183.88999938964844,118976.82960510254,178.4652444076538,149.21948739435175
2020-09-21,SELL,GLD,647,179.52000427246094,116149.44276428223,174.22416414642333,116124.43808753016
2020-09-21,BUY,EWJ,2166,53.46394729614258,115802.90984344482,173.70436476516724,147.8238793201599
2020-10-12,SELL,EWJ,2166,54.59952926635742,118262.58039093018,177.39387058639528,118233.01039966394
2020-10-12,BUY,EWA,6853,17.20941162109375,117936.09783935547,176.9041467590332,120.00841354943987
2020-11-09,SELL,EWA,6853,18.128999710083008,124238.03501319885,186.3570525197983,124171.68637422849
2020-11-09,BUY,EWJ,2135,57.99711990356445,123823.85099411011,185.73577649116518,162.09960362721176
2020-11-16,SELL,EWJ,2135,58.86712646484375,125681.3150024414,188.5219725036621,125654.89263356496
2020-11-16,BUY,EWU,5278,23.746929168701172,125336.29215240479,188.0044382286072,130.59604293156008
2020-11-30,SELL,EWU,5278,23.374723434448242,123371.79028701782,185.05768543052676,123317.32864451886
2020-11-30,BUY,EZU,3296,37.31562805175781,122992.31005859375,184.48846508789063,140.53012083721114
2020-12-07,SELL,EZU,3296,38.34107208251953,126372.17358398438,189.55826037597657,126323.1454444456
2020-12-07,BUY,EWU,5153,24.449993133544922,125990.81461715698,188.9862219257355,143.3446053628868
2020-12-14,SELL,EWU,5153,24.235946655273438,124887.83311462402,187.33174967193605,124843.84597031497
2020-12-14,BUY,EWC,4440,28.046600341796875,124526.90551757812,186.7903582763672,130.1500944604777
2020-12-21,SELL,EWC,4440,28.010162353515625,124365.12084960938,186.54768127441406,124308.72326279544
2020-12-21,BUY,EWG,4467,27.755918502807617,123985.68795204163,185.97853192806244,137.05677882574673
2021-01-04,SELL,EWG,4467,28.436779022216797,127027.09189224243,190.54063783836366,126973.60803322982
2021-01-04,BUY,GLD,694,182.3300018310547,126537.02127075195,189.80553190612792,246.78123057173798
2021-01-11,SELL,GLD,694,173.0,120062.0,180.093,120128.68823057174
2021-01-11,BUY,EWG,4186,28.62246322631836,119813.63106536865,179.72044659805297,135.33671860504546
2021-01-25,SELL,EWG,4186,28.410253524780273,118925.32125473022,178.38798188209535,118882.26999145317
2021-01-25,BUY,EWU,4642,25.541027069091797,118561.44765472412,177.84217148208617,142.9801652469614
2021-02-01,SELL,EWU,4642,24.75463104248047,114910.99729919434,172.3664959487915,114881.6109684925
2021-02-01,BUY,EWJ,1841,62.23343276977539,114571.7497291565,171.85762459373473,138.00361474227975
2021-03-01,SELL,EWJ,1841,63.75961685180664,117381.45462417603,176.07218193626403,117343.38605698204
2021-03-01,BUY,EWC,3906,29.95948600769043,117021.75234603882,175.53262851905822,146.10108242416754
2021-03-08,SELL,EWC,3906,30.250974655151367,118160.30700302124,177.24046050453188,118129.16762494088
2021-03-08,BUY,EWU,4514,26.101539611816406,117822.34980773926,176.73352471160888,130.0842924900062
2021-03-22,SELL,EWU,4514,26.218658447265625,118351.02423095703,177.52653634643556,118303.5819871006
2021-03-22,BUY,EWC,3783,31.18920135498047,117988.74872589111,176.98312308883666,137.85013812064426
2021-04-12,SELL,EWC,3783,31.8359375,120435.3515625,180.65302734375,120392.54867327689
2021-04-12,BUY,EWG,3929,30.558927536010742,120066.0262889862,180.0990394334793,146.42334485720494
2021-04-26,SELL,EWG,3929,31.124828338623047,122289.45054244995,183.43417581367493,122252.43971149348
2021-04-26,BUY,EZU,2812,43.35454559326172,121912.98220825195,182.86947331237795,156.5880299291457
2021-05-10,SELL,EZU,2812,43.680721282958984,122830.18824768066,184.245282371521,122802.5309952383
2021-05-10,BUY,EWC,3653,33.53021240234375,122485.86590576172,183.7287988586426,132.93629061793035
2021-05-17,SELL,EWC,3653,33.87635040283203,123750.30802154541,185.62546203231813,123697.61885013102
2021-05-17,BUY,GLD,706,174.6999969482422,123338.19784545898,185.0072967681885,174.41370790384826
2021-05-24,SELL,GLD,706,176.35000610351562,124503.10430908203,186.75465646362306,124490.76336052225
2021-05-24,BUY,EWC,3627,34.23161315917969,124158.06092834473,186.23709139251707,146.4653407850128
2021-06-07,SELL,EWC,3627,34.8145866394043,126272.50574111938,189.40875861167908,126229.56232329272
2021-06-07,BUY,GLD,707,177.8699951171875,125754.08654785156,188.63112982177736,286.84464561937784
2021-06-14,SELL,GLD,707,174.7100067138672,123519.9747467041,185.27996212005615,123621.53943020343
2021-06-14,BUY,EZU,2711,45.48524856567383,123310.50886154175,184.96576329231263,126.06480536935851
2021-06-21,SELL,EZU,2711,44.408409118652344,120391.1971206665,180.58679568099976,120336.67513035487
2021-06-21,BUY,EWA,5423,22.133928298950195,120032.29316520691,180.04843974781036,124.33352540014312
2021-06-28,SELL,EWA,5423,21.974388122558594,119167.10678863525,178.75066018295288,119112.68965385245
2021-06-28,BUY,EWC,3464,34.2961540222168,118801.87753295898,178.20281629943847,132.60930459402152
