,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,530625.8721282159,710890.1742095947
Total Return (%),430.6258721282158,611.9581113766598
CAGR (%),8.71689378385856,10.329203983767288
Volatility (%),13.539242666752148,19.02557819362013
Sharpe Ratio,0.643824325954681,0.5429114363121428
Sortino Ratio,0.6627185664963585,0.6604483856630304
Max Drawdown (%),-33.67957151946109,-55.15772839335269
Calmar Ratio,0.25881842881586753,0.18726666751221951
Win Rate (%),41.86046511627907,55.05863645398529
Avg Win (%),0.6299831336000433,0.7404720171023738
Avg Loss (%),-0.6859635503753357,-0.810070219044409
Total Trades,5032.0,5032.0
Alpha (%),-1.6123101999087286,0.0
Relative Sharpe,0.1009128896425382,0.0
Relative Max DD (%),21.4781568738916,0.0
Relative Volatility (%),-5.4863355268679825,0.0
