date,action,symbol,shares,price,value,cost,cash_after
2005-11-01,BUY,SPY,1202,82.98226928710938,99744.68768310547,149.61703152465822,105.69528536987491
2006-08-01,SELL,SPY,1202,88.82291412353516,106765.14277648926,160.14771416473388,106710.6903476944
2006-09-01,BUY,SPY,1160,91.7552261352539,106436.06231689453,159.6540934753418,114.97393732452474
2008-01-02,SELL,SPY,1160,104.08490753173828,120738.4927368164,181.10773910522462,120672.3589350357
2009-07-01,BUY,SPY,1750,68.7773666381836,120360.39161682129,180.54058742523193,131.42673078918597
2010-08-02,SELL,SPY,1750,85.60503387451172,149808.8092803955,224.71321392059326,149715.5227972641
2010-11-01,BUY,SPY,1650,90.4672622680664,149270.98274230957,223.90647411346436,220.63358084106585
2011-09-01,SELL,SPY,1650,93.6572494506836,154534.46159362793,231.80169239044187,154523.29348207856
2012-02-01,BUY,SPY,1485,103.77094268798828,154099.8498916626,231.1497748374939,192.29381557847955
2015-10-01,SELL,SPY,1485,162.35247802734375,241093.42987060547,361.6401448059082,240924.08354137803
2016-01-04,BUY,SPY,1406,170.8756561279297,240251.17251586914,360.3767587738037,312.53426673507784
2016-02-01,SELL,SPY,1406,164.6107940673828,231442.77645874023,347.16416468811036,231408.1465607872
2016-05-02,BUY,SPY,1299,177.6952362060547,230826.11183166504,346.23916774749756,235.79556137465988
2019-01-02,SELL,SPY,1299,225.66017150878906,293132.562789917,439.6988441848755,292928.65950710676
2019-04-01,BUY,SPY,1128,258.9517517089844,292097.5759277344,438.1463638916016,392.93721548077883
2020-04-01,SELL,SPY,1128,227.5596466064453,256687.2813720703,385.0309220581055,256695.187665493
2020-08-03,BUY,SPY,838,305.2958679199219,255837.93731689453,383.7569059753418,473.49344262311934
2022-04-01,SELL,SPY,838,431.02667236328125,361200.3514404297,541.8005271606446,361132.04435589217
2023-02-01,BUY,SPY,909,396.0546569824219,360013.6831970215,540.0205247955322,578.340634075168
