,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,212388.7935700913,710890.1742095947
Total Return (%),112.38879357009131,611.9581113766598
CAGR (%),3.8442810729187205,10.329203983767288
Volatility (%),12.404906768525635,19.025591414121696
Sharpe Ratio,0.3099000375135932,0.5429110590538838
Sortino Ratio,0.3065182301439008,0.660447959879233
Max Drawdown (%),-32.91078067837989,-55.15774569017812
Calmar Ratio,0.11680917297243414,0.18726660878757775
Win Rate (%),37.4080699662095,55.05863645398529
Avg Win (%),0.6178466927102206,0.7404722316683081
Avg Loss (%),-0.675074237951449,-0.8100704619999483
Total Trades,5032.0,5032.0
Alpha (%),-6.484922910848567,0.0
Relative Sharpe,-0.23301102154029063,0.0
Relative Max DD (%),22.246965011798224,0.0
Relative Volatility (%),-6.620684645596061,0.0
