date,equity,cash,position_value,position,shares
2005-01-03,100000.0,100000.0,0.0,,0
2005-01-04,100000.0,100000.0,0.0,,0
2005-01-05,100000.0,100000.0,0.0,,0
2005-01-06,100000.0,100000.0,0.0,,0
2005-01-07,100000.0,100000.0,0.0,,0
2005-01-10,100000.0,100000.0,0.0,,0
2005-01-11,100000.0,100000.0,0.0,,0
2005-01-12,100000.0,100000.0,0.0,,0
2005-01-13,100000.0,100000.0,0.0,,0
2005-01-14,100000.0,100000.0,0.0,,0
2005-01-18,100000.0,100000.0,0.0,,0
2005-01-19,100000.0,100000.0,0.0,,0
2005-01-20,100000.0,100000.0,0.0,,0
2005-01-21,100000.0,100000.0,0.0,,0
2005-01-24,100000.0,100000.0,0.0,,0
2005-01-25,100000.0,100000.0,0.0,,0
2005-01-26,100000.0,100000.0,0.0,,0
2005-01-27,100000.0,100000.0,0.0,,0
2005-01-28,100000.0,100000.0,0.0,,0
2005-01-31,100000.0,100000.0,0.0,,0
2005-02-01,100000.0,100000.0,0.0,,0
2005-02-02,100000.0,100000.0,0.0,,0
2005-02-03,100000.0,100000.0,0.0,,0
2005-02-04,100000.0,100000.0,0.0,,0
2005-02-07,100000.0,100000.0,0.0,,0
2005-02-08,100000.0,100000.0,0.0,,0
2005-02-09,100000.0,100000.0,0.0,,0
2005-02-10,100000.0,100000.0,0.0,,0
2005-02-11,100000.0,100000.0,0.0,,0
2005-02-14,100000.0,100000.0,0.0,,0
2005-02-15,100000.0,100000.0,0.0,,0
2005-02-16,100000.0,100000.0,0.0,,0
2005-02-17,100000.0,100000.0,0.0,,0
2005-02-18,100000.0,100000.0,0.0,,0
2005-02-22,100000.0,100000.0,0.0,,0
2005-02-23,100000.0,100000.0,0.0,,0
2005-02-24,100000.0,100000.0,0.0,,0
2005-02-25,100000.0,100000.0,0.0,,0
2005-02-28,100000.0,100000.0,0.0,,0
2005-03-01,100000.0,100000.0,0.0,,0
2005-03-02,100000.0,100000.0,0.0,,0
2005-03-03,100000.0,100000.0,0.0,,0
2005-03-04,100000.0,100000.0,0.0,,0
2005-03-07,100000.0,100000.0,0.0,,0
2005-03-08,100000.0,100000.0,0.0,,0
2005-03-09,100000.0,100000.0,0.0,,0
2005-03-10,100000.0,100000.0,0.0,,0
2005-03-11,100000.0,100000.0,0.0,,0
2005-03-14,100000.0,100000.0,0.0,,0
2005-03-15,100000.0,100000.0,0.0,,0
2005-03-16,100000.0,100000.0,0.0,,0
2005-03-17,100000.0,100000.0,0.0,,0
2005-03-18,100000.0,100000.0,0.0,,0
2005-03-21,100000.0,100000.0,0.0,,0
2005-03-22,100000.0,100000.0,0.0,,0
2005-03-23,100000.0,100000.0,0.0,,0
2005-03-24,100000.0,100000.0,0.0,,0
2005-03-28,100000.0,100000.0,0.0,,0
2005-03-29,100000.0,100000.0,0.0,,0
2005-03-30,100000.0,100000.0,0.0,,0
2005-03-31,100000.0,100000.0,0.0,,0
2005-04-01,100000.0,100000.0,0.0,,0
2005-04-04,100000.0,100000.0,0.0,,0
2005-04-05,100000.0,100000.0,0.0,,0
2005-04-06,100000.0,100000.0,0.0,,0
2005-04-07,100000.0,100000.0,0.0,,0
2005-04-08,100000.0,100000.0,0.0,,0
2005-04-11,100000.0,100000.0,0.0,,0
2005-04-12,100000.0,100000.0,0.0,,0
2005-04-13,100000.0,100000.0,0.0,,0
2005-04-14,100000.0,100000.0,0.0,,0
2005-04-15,100000.0,100000.0,0.0,,0
2005-04-18,100000.0,100000.0,0.0,,0
2005-04-19,100000.0,100000.0,0.0,,0
2005-04-20,100000.0,100000.0,0.0,,0
2005-04-21,100000.0,100000.0,0.0,,0
2005-04-22,100000.0,100000.0,0.0,,0
2005-04-25,100000.0,100000.0,0.0,,0
2005-04-26,100000.0,100000.0,0.0,,0
2005-04-27,100000.0,100000.0,0.0,,0
2005-04-28,100000.0,100000.0,0.0,,0
2005-04-29,100000.0,100000.0,0.0,,0
2005-05-02,100000.0,100000.0,0.0,,0
2005-05-03,100000.0,100000.0,0.0,,0
2005-05-04,100000.0,100000.0,0.0,,0
2005-05-05,100000.0,100000.0,0.0,,0
2005-05-06,100000.0,100000.0,0.0,,0
2005-05-09,100000.0,100000.0,0.0,,0
2005-05-10,100000.0,100000.0,0.0,,0
2005-05-11,100000.0,100000.0,0.0,,0
2005-05-12,100000.0,100000.0,0.0,,0
2005-05-13,100000.0,100000.0,0.0,,0
2005-05-16,100000.0,100000.0,0.0,,0
2005-05-17,100000.0,100000.0,0.0,,0
2005-05-18,100000.0,100000.0,0.0,,0
2005-05-19,100000.0,100000.0,0.0,,0
2005-05-20,100000.0,100000.0,0.0,,0
2005-05-23,100000.0,100000.0,0.0,,0
2005-05-24,100000.0,100000.0,0.0,,0
2005-05-25,100000.0,100000.0,0.0,,0
2005-05-26,100000.0,100000.0,0.0,,0
2005-05-27,100000.0,100000.0,0.0,,0
2005-05-31,100000.0,100000.0,0.0,,0
2005-06-01,100000.0,100000.0,0.0,,0
2005-06-02,100000.0,100000.0,0.0,,0
2005-06-03,100000.0,100000.0,0.0,,0
2005-06-06,100000.0,100000.0,0.0,,0
2005-06-07,100000.0,100000.0,0.0,,0
2005-06-08,100000.0,100000.0,0.0,,0
2005-06-09,100000.0,100000.0,0.0,,0
2005-06-10,100000.0,100000.0,0.0,,0
2005-06-13,100000.0,100000.0,0.0,,0
2005-06-14,100000.0,100000.0,0.0,,0
2005-06-15,100000.0,100000.0,0.0,,0
2005-06-16,100000.0,100000.0,0.0,,0
2005-06-17,100000.0,100000.0,0.0,,0
2005-06-20,100000.0,100000.0,0.0,,0
2005-06-21,100000.0,100000.0,0.0,,0
2005-06-22,100000.0,100000.0,0.0,,0
2005-06-23,100000.0,100000.0,0.0,,0
2005-06-24,100000.0,100000.0,0.0,,0
2005-06-27,100000.0,100000.0,0.0,,0
2005-06-28,100000.0,100000.0,0.0,,0
2005-06-29,100000.0,100000.0,0.0,,0
2005-06-30,100000.0,100000.0,0.0,,0
2005-07-01,100000.0,100000.0,0.0,,0
2005-07-05,99850.3974368744,115.3553531341604,99735.04208374023,SPY,1207
2005-07-06,99014.39670445252,115.3553531341604,98899.04135131836,SPY,1207
2005-07-07,99403.40814854432,115.3553531341604,99288.05279541016,SPY,1207
2005-07-08,100537.4385745697,115.3553531341604,100422.08322143555,SPY,1207
2005-07-11,101050.63826634217,115.3553531341604,100935.28291320801,SPY,1207
2005-07-12,101315.5167148285,115.3553531341604,101200.16136169434,SPY,1207
2005-07-13,101456.26216770936,115.3553531341604,101340.9068145752,SPY,1207
2005-07-14,101853.58904911805,115.3553531341604,101738.23369598389,SPY,1207
2005-07-15,101795.59278752137,115.3553531341604,101680.2374343872,SPY,1207
2005-07-18,101390.04255558777,115.3553531341604,101274.68720245361,SPY,1207
2005-07-19,101944.61684300232,115.3553531341604,101829.26148986816,SPY,1207
2005-07-20,102292.25369145203,115.3553531341604,102176.89833831787,SPY,1207
2005-07-21,101696.29559971619,115.3553531341604,101580.94024658203,SPY,1207
2005-07-22,102375.0581348114,115.3553531341604,102259.70278167725,SPY,1207
2005-07-25,102085.33466984559,115.3553531341604,101969.97931671143,SPY,1207
2005-07-26,102209.49529148865,115.3553531341604,102094.13993835449,SPY,1207
2005-07-27,102581.97715641785,115.3553531341604,102466.62180328369,SPY,1207
2005-07-28,103227.62528111268,115.3553531341604,103112.26992797852,SPY,1207
2005-07-29,102540.57493473816,115.3553531341604,102425.219581604,SPY,1207
2005-08-01,102466.12276341248,115.3553531341604,102350.76741027832,SPY,1207
2005-08-02,103078.64726902772,115.3553531341604,102963.29191589355,SPY,1207
2005-08-03,103351.77669407654,115.3553531341604,103236.42134094238,SPY,1207
2005-08-04,102524.06377293397,115.3553531341604,102408.7084197998,SPY,1207
2005-08-05,101828.73482395936,115.3553531341604,101713.3794708252,SPY,1207
2005-08-08,101638.3822162323,115.3553531341604,101523.02686309814,SPY,1207
2005-08-09,102250.86988713074,115.3553531341604,102135.51453399658,SPY,1207
2005-08-10,102201.23510624695,115.3553531341604,102085.8797531128,SPY,1207
2005-08-11,102606.83138157654,115.3553531341604,102491.47602844238,SPY,1207
2005-08-12,101977.70362736512,115.3553531341604,101862.34827423096,SPY,1207
2005-08-15,102606.83138157654,115.3553531341604,102491.47602844238,SPY,1207
2005-08-16,101274.1421191864,115.3553531341604,101158.78676605225,SPY,1207
2005-08-17,101265.85430790711,115.3553531341604,101150.49895477295,SPY,1207
2005-08-18,101257.59412266541,115.3553531341604,101142.23876953125,SPY,1207
