,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,425682.1126491394,710890.1556091309
Total Return (%),325.68211264913947,611.9580927482533
CAGR (%),7.5237189084068845,10.329203839199463
Volatility (%),17.10951684472578,19.02558358999834
Sharpe Ratio,0.43973882937122005,0.5429112747232351
Sortino Ratio,0.573342031910596,0.6604476286352828
Max Drawdown (%),-45.52038458524534,-55.15773591802059
Calmar Ratio,0.1652824108794013,0.18726663934414334
Win Rate (%),50.029815146094215,55.05863645398529
Avg Win (%),0.7745035670919245,0.7404719541083039
Avg Loss (%),-0.7950241335339715,-0.8100701332399447
Total Trades,5032.0,5032.0
Alpha (%),-2.805484930792579,0.0
Relative Sharpe,-0.10317244535201503,0.0
Relative Max DD (%),9.637351332775253,0.0
Relative Volatility (%),-1.9160667452725626,0.0
