date,action,symbol,shares,price,value,cost,cash_after
2005-07-05,BUY,GLD,2359,42.279998779296875,99738.51712036133,149.607775680542,111.87510395812569
2005-09-12,SELL,GLD,2359,44.88999938964844,105895.50856018066,158.843262840271,105848.54040129852
2005-10-03,BUY,GLD,2274,46.41999816894531,105559.07583618164,158.33861375427247,131.1259513626137
2005-10-10,SELL,GLD,2274,47.369998931884766,107719.37757110596,161.57906635665896,107688.92445611191
2005-11-21,BUY,GLD,2192,48.9900016784668,107386.08367919922,161.07912551879883,141.76165139389923
2007-08-06,SELL,GLD,2192,66.5199966430664,145811.83264160156,218.71774896240237,145734.87654403306
2007-09-24,BUY,GLD,2011,72.27999877929688,145355.07754516602,218.03261631774902,161.7663825493073
2007-11-19,SELL,GLD,2011,77.23999786376953,155329.63570404053,232.9944535560608,155258.40763303378
2007-12-31,BUY,GLD,1878,82.45999908447266,154859.87828063965,232.28981742095948,166.23953497316688
2008-12-22,SELL,GLD,1878,83.45999908447266,156737.87828063965,235.1068174209595,156669.01099819186
2009-01-05,BUY,GLD,1849,84.4800033569336,156203.52620697021,234.30528931045535,231.1795019111887
2009-02-09,SELL,GLD,1849,88.31999969482422,163303.67943572998,244.95551915359496,163289.90341848758
2009-03-23,BUY,GLD,1768,92.08000183105469,162797.4432373047,244.19616485595702,248.26401632692432
