,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,337878.9813797417,710890.1649093628
Total Return (%),237.87898137974167,611.9581020624564
CAGR (%),6.28698571704549,10.329203911483376
Volatility (%),16.871044736068647,19.025589892550897
Sharpe Ratio,0.37264946038608554,0.5429110986738748
Sortino Ratio,0.4839073689028872,0.6604477663546604
Max Drawdown (%),-48.3040258429839,-55.1577372176738
Calmar Ratio,0.1301544872777652,0.187266636242171
Win Rate (%),49.691910157026435,55.05863645398529
Avg Win (%),0.7679272434792648,0.7404724062884495
Avg Loss (%),-0.7935349114729335,-0.8100706792032855
Total Trades,5032.0,5032.0
Alpha (%),-4.042218194437885,0.0
Relative Sharpe,-0.17026163828778923,0.0
Relative Max DD (%),6.853711374689901,0.0
Relative Volatility (%),-2.15454515648225,0.0
