date,action,symbol,shares,price,value,cost,cash_after
2005-07-05,BUY,GLD,2359,42.279998779296875,99738.51712036133,149.607775680542,111.87510395812569
2005-09-12,SELL,GLD,2359,44.88999938964844,105895.50856018066,158.843262840271,105848.54040129852
2005-10-03,BUY,GLD,2274,46.41999816894531,105559.07583618164,158.33861375427247,131.1259513626137
2005-10-10,SELL,GLD,2274,47.369998931884766,107719.37757110596,161.57906635665896,107688.92445611191
2005-11-21,BUY,GLD,2192,48.9900016784668,107386.08367919922,161.07912551879883,141.76165139389923
2007-08-06,SELL,GLD,2192,66.5199966430664,145811.83264160156,218.71774896240237,145734.87654403306
2007-09-24,BUY,GLD,2011,72.27999877929688,145355.07754516602,218.03261631774902,161.7663825493073
2008-10-27,SELL,GLD,2011,72.18000030517578,145153.9806137085,217.73097092056275,145098.01602533725
2009-01-05,BUY,GLD,1713,84.4800033569336,144714.24575042725,217.07136862564084,166.6989062843495
2009-02-09,SELL,GLD,1713,88.31999969482422,151292.1594772339,226.93823921585084,151231.9201443024
2009-02-17,BUY,GLD,1580,95.44999694824219,150810.99517822266,226.216492767334,194.70847331240657
2015-12-28,SELL,GLD,1580,102.2699966430664,161586.59469604492,242.3798920440674,161538.92327731327
2016-02-16,BUY,GLD,1403,114.7699966430664,161022.30529022217,241.53345793533325,275.084529155778
