,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,379517.8626575527,710890.1835098267
Total Return (%),279.5178626575527,611.958120690863
CAGR (%),6.907372279253332,10.3292040560512
Volatility (%),16.791690538500013,19.02558688209693
Sharpe Ratio,0.41135657326557434,0.5429111921783069
Sortino Ratio,0.5329781348060442,0.660448013224132
Max Drawdown (%),-47.248311261996164,-55.15773380715226
Calmar Ratio,0.14619299811481784,0.18726665044225982
Win Rate (%),49.47326575233552,55.05863645398529
Avg Win (%),0.7695106292176864,0.7404726726426725
Avg Loss (%),-0.7917464588722685,-0.8100710120428382
Total Trades,5032.0,5032.0
Alpha (%),-3.421831776797868,0.0
Relative Sharpe,-0.1315546189127325,0.0
Relative Max DD (%),7.909422545156097,0.0
Relative Volatility (%),-2.2338963435969177,0.0
