date,action,symbol,shares,price,value,cost,cash_after
2005-11-01,BUY,EWJ,2768,36.03420639038086,99742.68328857422,149.61402493286135,107.7026864929212
2006-08-01,SELL,EWJ,2768,39.53123092651367,109422.44720458984,164.13367080688477,109366.01622027588
2006-09-01,BUY,EWJ,2665,40.921905517578125,109056.8782043457,163.58531730651856,145.5526986236655
2007-05-01,SELL,EWJ,2665,42.55434036254883,113407.31706619263,170.11097559928896,113382.758789217
2007-05-01,BUY,EFA,2474,45.714454650878906,113097.56080627441,169.64634120941162,115.55164173316734
2008-01-02,SELL,EFA,2474,46.37287139892578,114726.48384094238,172.08972576141358,114669.94575691414
2009-07-01,BUY,EFA,3931,29.09491539001465,114372.11239814758,171.55816859722137,126.27519016932638
2010-08-02,SELL,EFA,3931,34.42136001586914,135310.3662223816,202.96554933357237,135233.67586321733
2010-11-01,BUY,EFA,3702,36.43558120727539,134884.5216293335,202.32678244400026,146.8274514398363
2011-09-01,SELL,EFA,3702,34.9254150390625,129293.88647460938,193.94082971191403,129246.7730963373
2012-02-01,BUY,EFA,3644,35.37876510620117,128920.22004699707,193.38033007049557,133.17271926974354
2015-10-01,SELL,EFA,3644,43.0220832824707,156772.47148132324,235.15870722198486,156670.48549337097
2016-01-04,BUY,EFA,3580,43.641456604003906,156236.41464233398,234.35462196350096,199.71622907349956
2016-02-01,SELL,EFA,3580,41.829978942871094,149751.32461547852,224.62698692321777,149726.4138576288
2016-05-02,BUY,EFA,3354,44.51700210571289,149310.02506256104,223.96503759384154,192.42375747390906
2019-01-02,SELL,EFA,3354,48.329620361328125,162097.54669189453,243.1463200378418,162046.8241293306
2019-04-01,BUY,EFA,2986,54.121604919433594,161607.1122894287,242.41066843414308,197.30117146775592
2020-04-01,SELL,EFA,2986,43.48522186279297,129846.8724822998,194.77030872344972,129849.4033450441
2020-08-03,BUY,EFA,2371,54.6080436706543,129475.67154312134,194.213507314682,179.5182946080895
2022-04-01,SELL,EFA,2371,66.91722869873047,158660.74924468994,237.99112386703493,158602.276415431
2023-02-01,BUY,EFA,2370,66.73069763183594,158151.75338745117,237.22763008117676,213.29539789864793
