,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,546021.3435696354,710890.1277084351
Total Return (%),446.0213435696354,611.9580648056435
CAGR (%),8.872722385819376,10.329203622347706
Volatility (%),14.109490128463648,19.025583402189323
Sharpe Ratio,0.6288478396480163,0.5429112686846227
Sortino Ratio,0.6434405204277422,0.660447898539088
Max Drawdown (%),-36.65665321428413,-55.157720165066124
Calmar Ratio,0.24204944008259627,0.18726668889570344
Win Rate (%),41.78095806002783,55.05863645398529
Avg Win (%),0.6439793467126762,0.7404723776820555
Avg Loss (%),-0.7036907912580923,-0.81007065699948
Total Trades,5032.0,5032.0
Alpha (%),-1.4564812365283295,0.0
Relative Sharpe,0.08593657096339358,0.0
Relative Max DD (%),18.501066950781997,0.0
Relative Volatility (%),-4.916093273725675,0.0
