date,action,symbol,shares,price,value,cost,cash_after
2005-10-24,BUY,DIA,1502,66.37593841552734,99696.65950012207,149.5449892501831,153.79551062775136
2006-07-31,SELL,DIA,1502,72.77460479736328,109307.45640563965,163.9611846084595,109297.29073165894
2006-09-05,BUY,DIA,1457,74.77730560302734,108950.53426361084,163.42580139541627,183.33066665269143
2007-12-31,SELL,DIA,1457,88.95083618164062,129601.36831665039,194.4020524749756,129590.2969308281
2009-06-22,BUY,DIA,2211,58.44855880737305,129229.7635231018,193.8446452846527,166.6887624416413
2010-07-12,SELL,DIA,2211,73.59503173828125,162718.61517333984,244.07792276000978,162641.22601302149
2010-10-18,BUY,DIA,2015,80.48291778564453,162173.07933807373,243.2596190071106,224.88705594063504
2011-08-22,SELL,DIA,2015,80.41728210449219,162040.82344055176,243.0612351608276,162022.64926133156
2012-01-30,BUY,DIA,1706,94.69127655029297,161543.3177947998,242.3149766921997,237.01648983955965
2015-09-08,SELL,DIA,1706,134.34486389160156,229192.33779907227,343.78850669860844,229085.5657822132
2015-12-14,BUY,DIA,1603,142.47349548339844,228385.0132598877,342.57751988983154,357.9750024356763
2016-01-19,SELL,DIA,1603,131.47720336914062,210757.95700073242,316.13693550109866,210799.795067667
2016-04-25,BUY,DIA,1416,148.49293518066406,210265.9962158203,315.39899432373045,218.39985752294888
2018-12-17,SELL,DIA,1416,207.27862548828125,293506.53369140625,440.2598005371094,293284.67374839215
2019-04-01,BUY,DIA,1261,231.94728088378906,292485.521194458,438.728281791687,360.4242721424671
2020-04-06,SELL,DIA,1261,204.91871643066406,258402.50141906738,387.60375212860106,258375.32193908124
2020-07-13,BUY,DIA,1085,237.4126434326172,257592.71812438965,386.3890771865845,396.2147375050117
2020-09-14,SELL,DIA,1085,255.89610290527344,277647.2716522217,416.4709074783325,277627.01548224833
2020-09-14,BUY,QQQ,1037,266.88330078125,276757.98291015625,415.13697436523444,453.89559772686334
2020-12-14,SELL,QQQ,1037,294.89459228515625,305805.69219970703,458.7085382995606,305800.87925913435
2020-12-14,BUY,DIA,1112,274.20556640625,304916.58984375,457.374884765625,426.91453061869834
2021-03-15,SELL,DIA,1112,303.9078369140625,337945.5146484375,506.91827197265627,337865.5109070835
2021-03-15,BUY,QQQ,1087,309.8002014160156,336752.818939209,505.12922840881345,607.5627394657349
2022-03-21,SELL,QQQ,1087,342.22650146484375,372000.20709228516,558.0003106384278,372049.76952111244
2023-01-30,BUY,DIA,1155,321.300048828125,371101.5563964844,556.6523345947267,391.5607900333125
2023-05-22,SELL,DIA,1155,319.5645751953125,369097.08435058594,553.6456265258789,368934.9995140934
2023-05-22,BUY,QQQ,1106,332.6016540527344,367857.4293823242,551.7861440734863,525.7839876957005
2023-06-12,SELL,QQQ,1106,355.110595703125,392752.31884765625,589.1284782714845,392688.9743570805
2023-06-12,BUY,DIA,1196,327.5032958984375,391693.94189453125,587.5409128417969,407.4915497074253
2023-11-27,SELL,DIA,1196,342.47802734375,409603.720703125,614.4055810546876,409396.80667177774
2023-11-27,BUY,QQQ,1062,384.4441833496094,408279.72271728516,612.4195840759278,504.6643704166636
