,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,81668.21982252655,710890.137008667
Total Return (%),-18.331780177473455,611.9580741198467
CAGR (%),-1.3201492480164667,10.329203694631616
Volatility (%),10.646002885304739,19.025587537139412
Sharpe Ratio,-0.1240042166284532,0.5429111544896165
Sortino Ratio,-0.10310881913119273,0.6604481304044793
Max Drawdown (%),-43.060630802185834,-55.1577659090998
Calmar Ratio,0.03065791706770477,0.18726653490016584
Win Rate (%),21.776504297994272,55.05863645398529
Avg Win (%),0.7065788380934734,0.7404723874324545
Avg Loss (%),-0.7371871718739464,-0.8100706627448412
Total Trades,3840.0,5032.0
Alpha (%),-11.649352942648083,0.0
Relative Sharpe,-0.6669153711180696,0.0
Relative Max DD (%),12.097135106913967,0.0
Relative Volatility (%),-8.379584651834673,0.0
