,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,119284.50573802178,710890.1463088989
Total Return (%),19.284505738021785,611.95808343405
CAGR (%),3.2415220034522685,10.329203766915551
Volatility (%),15.783829396885043,19.02558802161569
Sharpe Ratio,0.20536980741137423,0.5429111444639794
Sortino Ratio,0.19460603083378708,0.6604476083766582
Max Drawdown (%),-28.811046250398604,-55.15772674188453
Calmar Ratio,0.11250969420825603,0.1872666691876548
Win Rate (%),19.10919540229885,55.05863645398529
Avg Win (%),1.1218254108421788,0.7404727601339991
Avg Loss (%),-0.9749067393867571,-0.8100711198540796
Total Trades,1393.0,5032.0
Alpha (%),-7.087681763463283,0.0
Relative Sharpe,-0.33754133705260514,0.0
Relative Max DD (%),26.346680491485927,0.0
Relative Volatility (%),-3.2417586247306467,0.0
