date,equity,cash,position_value,position,shares
2019-06-19,100000.0,100000.0,0.0,,0
2019-06-20,100000.0,100000.0,0.0,,0
2019-06-21,100000.0,100000.0,0.0,,0
2019-06-24,100000.0,100000.0,0.0,,0
2019-06-25,100000.0,100000.0,0.0,,0
2019-06-26,100000.0,100000.0,0.0,,0
2019-06-27,100000.0,100000.0,0.0,,0
2019-06-28,100000.0,100000.0,0.0,,0
2019-07-01,100000.0,100000.0,0.0,,0
2019-07-02,100000.0,100000.0,0.0,,0
2019-07-03,100000.0,100000.0,0.0,,0
2019-07-05,100000.0,100000.0,0.0,,0
2019-07-08,100000.0,100000.0,0.0,,0
2019-07-09,100000.0,100000.0,0.0,,0
2019-07-10,100000.0,100000.0,0.0,,0
2019-07-11,100000.0,100000.0,0.0,,0
2019-07-12,100000.0,100000.0,0.0,,0
2019-07-15,100000.0,100000.0,0.0,,0
2019-07-16,100000.0,100000.0,0.0,,0
2019-07-17,100000.0,100000.0,0.0,,0
2019-07-18,100000.0,100000.0,0.0,,0
2019-07-19,100000.0,100000.0,0.0,,0
2019-07-22,100000.0,100000.0,0.0,,0
2019-07-23,100000.0,100000.0,0.0,,0
2019-07-24,100000.0,100000.0,0.0,,0
2019-07-25,100000.0,100000.0,0.0,,0
2019-07-26,100000.0,100000.0,0.0,,0
2019-07-29,99850.44692810821,148.39900025176757,99702.04792785645,XLK,1278
2019-07-30,99210.23788269806,148.39900025176757,99061.83888244629,XLK,1278
2019-07-31,97712.40612610626,148.39900025176757,97564.00712585449,XLK,1278
2019-08-01,97217.1460247879,148.39900025176757,97068.74702453613,XLK,1278
2019-08-02,95634.77859314728,148.39900025176757,95486.37959289551,XLK,1278
2019-08-05,91511.38352647399,91511.38352647399,0.0,ZROZ,0
2019-08-06,91511.38352647399,91511.38352647399,0.0,ZROZ,0
2019-08-07,91511.38352647399,91511.38352647399,0.0,ZROZ,0
2019-08-08,91511.38352647399,91511.38352647399,0.0,ZROZ,0
2019-08-09,91511.38352647399,91511.38352647399,0.0,ZROZ,0
2019-08-12,91511.38352647399,91511.38352647399,0.0,ZROZ,0
2019-08-13,91511.38352647399,91511.38352647399,0.0,ZROZ,0
2019-08-14,91511.38352647399,91511.38352647399,0.0,ZROZ,0
2019-08-15,91511.38352647399,91511.38352647399,0.0,ZROZ,0
2019-08-16,91511.38352647399,91511.38352647399,0.0,ZROZ,0
2019-08-19,91511.38352647399,91511.38352647399,0.0,ZROZ,0
2019-08-20,91511.38352647399,91511.38352647399,0.0,ZROZ,0
2019-08-21,91511.38352647399,91511.38352647399,0.0,ZROZ,0
2019-08-22,91511.38352647399,91511.38352647399,0.0,ZROZ,0
2019-08-23,91511.38352647399,91511.38352647399,0.0,ZROZ,0
2019-08-26,91511.38352647399,91511.38352647399,0.0,ZROZ,0
2019-08-27,91511.38352647399,91511.38352647399,0.0,ZROZ,0
2019-08-28,91511.38352647399,91511.38352647399,0.0,ZROZ,0
2019-08-29,91511.38352647399,91511.38352647399,0.0,ZROZ,0
2019-08-30,91511.38352647399,91511.38352647399,0.0,ZROZ,0
2019-09-03,91511.38352647399,91511.38352647399,0.0,ZROZ,0
