date,action,symbol,shares,price,value,cost,cash_after
2019-07-29,BUY,XLK,1278,78.01412200927734,99702.04792785645,149.55307189178467,148.39900025176757
2019-08-05,SELL,XLK,1278,71.59642791748047,91500.23487854004,137.25035231781007,91511.38352647399
2019-09-16,BUY,XRT,2337,39.04384994506836,91245.47732162476,136.86821598243714,129.03798886679579
2019-09-23,SELL,XRT,2337,38.444000244140625,89843.62857055664,134.76544285583498,89837.9011165676
2019-11-04,BUY,ITB,2116,42.33454513549805,89579.89750671387,134.3698462600708,123.63376359366521
2019-11-11,SELL,ITB,2116,42.55409622192383,90044.46760559082,135.06670140838622,90033.0346677761
2019-11-11,BUY,IYT,1947,46.122718811035156,89800.93352508545,134.7014002876282,97.39974240302399
2019-11-18,SELL,IYT,1947,45.552059173583984,88689.85921096802,133.03478881645202,88654.22416455459
2019-11-18,BUY,XLF,3323,26.607393264770508,88416.3678188324,132.6245517282486,105.23179399393848
2019-11-25,SELL,XLF,3323,26.875167846679688,89306.1827545166,133.9592741317749,89277.45527437876
2019-11-25,BUY,XLK,1069,83.29164123535156,89038.76448059082,133.55814672088624,105.13264706706104
2019-12-16,SELL,XLK,1069,85.60501861572266,91511.76490020752,137.26764735031128,91479.62989992427
2019-12-16,BUY,XLF,3317,27.50889015197754,91246.9886341095,136.87048295116426,95.77078286360484
2019-12-30,SELL,XLF,3317,27.523330688476562,91294.88789367676,136.94233184051512,91253.71634469985
2020-01-13,BUY,XLK,1001,90.8686294555664,90959.49808502197,136.43924712753295,157.77901255033794
2020-01-27,SELL,XLK,1001,90.4691162109375,90559.58532714844,135.83937799072265,90581.52496170806
2020-02-18,BUY,ITB,1903,47.47051239013672,90336.38507843018,135.50457761764528,109.63530566023837
2020-02-24,SELL,ITB,1903,46.94486618041992,89336.08034133911,134.00412051200868,89311.71152648734
2020-07-20,BUY,XLK,848,105.04692077636719,89079.78881835938,133.61968322753907,98.30302490042232
2020-08-31,SELL,XLK,848,118.46064758300781,100454.62915039062,150.68194372558594,100402.25023156546
2020-08-31,BUY,ITB,1912,52.36178207397461,100115.72732543945,150.17359098815916,136.34931513784977
