date,action,symbol,shares,price,value,cost,cash_after
2019-08-01,BUY,IYT,2290,43.54071044921875,99708.22692871094,149.56234039306642,142.21073089599668
2019-09-03,SELL,IYT,2290,41.78701400756836,95692.26207733154,143.53839311599734,95690.93441511154
2019-09-03,BUY,ITB,2470,38.64253616333008,95447.0643234253,143.17059648513793,100.69949520110094
2019-12-02,SELL,ITB,2470,42.80227279663086,105721.61380767822,158.58242071151733,105663.7308821678
2019-12-02,BUY,XLK,1279,82.39093017578125,105377.99969482422,158.06699954223635,127.664187801347
2020-03-02,SELL,XLK,1279,88.91866302490234,113726.9700088501,170.59045501327515,113684.04374163818
2020-03-02,BUY,ITB,2637,42.99774932861328,113385.06497955322,170.07759746932982,128.90116461562866
2020-04-01,SELL,ITB,2637,25.47263526916504,67171.33920478821,100.75700880718232,67199.48336059666
2020-08-03,BUY,XLK,617,108.4890365600586,66937.73555755615,100.40660333633423,161.3411997041694
2020-09-01,SELL,XLK,617,120.72341918945312,74486.34963989258,111.72952445983887,74535.96131513691
2020-09-01,BUY,ITB,1378,53.92582702636719,74309.78964233398,111.46468446350097,114.70698833942879
2021-01-04,SELL,ITB,1378,52.723838806152344,72653.44987487793,108.9801748123169,72659.17668840504
2021-01-04,BUY,XRT,1228,58.99412155151367,72444.78126525879,108.6671718978882,105.72825124836527
2021-10-01,SELL,XRT,1228,85.0844497680664,104483.70431518555,156.72555647277832,104432.70700996113
2021-10-01,BUY,XLK,709,146.8216552734375,104096.55358886719,156.14483038330079,180.00859071064042
2021-11-01,SELL,XLK,709,156.23716735839844,110772.15165710449,166.15822748565677,110786.00202032947
2021-11-01,BUY,XLF,2943,37.54766845703125,110502.78826904297,165.75418240356444,117.45956888294313
2021-12-01,SELL,XLF,2943,34.993534088134766,102985.97082138062,154.4789562320709,102948.95143403149
2021-12-01,BUY,XLE,2203,46.59455108642578,102647.796043396,153.971694065094,147.18369657039875
2022-01-03,SELL,XLE,2203,50.003021240234375,110156.65579223633,165.2349836883545,110138.60450511838
2022-01-03,BUY,ITB,1409,77.94490051269531,109824.3648223877,164.73654723358155,149.50313549709972
2022-02-01,SELL,ITB,1409,68.42033386230469,96404.2504119873,144.60637561798097,96409.14717186643
2022-02-01,BUY,XLE,1611,59.659305572509766,96111.14127731323,144.16671191596987,153.83918263722444
2022-04-01,SELL,XLE,1611,67.98480224609375,109523.51641845703,164.28527462768557,109513.07032646656
2023-02-01,BUY,XLE,1359,80.32620239257812,109163.30905151367,163.7449635772705,186.016311375628
2023-03-01,SELL,XLE,1359,77.75676727294922,105671.44672393799,158.50717008590698,105698.9558652277
2023-03-01,BUY,ITB,1617,65.19002532958984,105412.27095794678,158.11840643692017,128.5665008440119
2023-07-03,SELL,ITB,1617,83.09657287597656,134367.1583404541,201.55073751068113,134294.17410378746
2023-07-03,BUY,XLK,784,170.75901794433594,133875.07006835938,200.81260510253907,218.29143032553839
2023-08-01,SELL,XLK,784,175.8377685546875,137856.810546875,206.78521582031252,137868.31676138024
2023-08-01,BUY,XHB,1644,83.64051818847656,137505.01190185547,206.25751785278322,157.04734167197603
2023-09-01,SELL,XHB,1644,82.8928451538086,136275.83743286133,204.413756149292,136228.471018384
2023-09-01,BUY,XLE,1612,84.2756118774414,135852.28634643555,203.77842951965334,172.40624242881313
2023-12-01,SELL,XLE,1612,79.5457992553711,128227.8283996582,192.3417425994873,128207.89289948753
2023-12-01,BUY,XLK,698,183.04885864257812,127768.10333251953,191.65215499877928,248.1374119692191
2024-01-02,SELL,XLK,698,185.29141235351562,129333.4058227539,194.0001087341309,129387.54312598899
2024-01-02,BUY,ITB,1309,98.54903411865234,129000.68566131592,193.50102849197387,193.35643618110043
2024-03-01,SELL,ITB,1309,107.52230834960938,140746.70162963867,211.120052444458,140728.93801337533
2024-03-01,BUY,XLC,1789,78.4487533569336,140344.8197555542,210.51722963333128,173.6010281878116
2024-04-01,SELL,XLC,1789,80.89251708984375,144716.71307373047,217.07506961059568,144673.2390323077
2024-04-01,BUY,XHB,1323,109.00460815429688,144213.09658813477,216.31964488220214,243.8227992907341
2024-05-01,SELL,XHB,1323,101.13655853271484,133803.66693878174,200.7055004081726,133846.7842376643
2024-05-01,BUY,XLE,1523,87.63400268554688,133466.5860900879,200.19987913513185,179.9982684412971
2024-06-03,SELL,XLE,1523,86.42467498779297,131624.7800064087,197.43717000961303,131607.34110484037
2024-06-03,BUY,XLK,629,208.61880493164062,131221.22830200195,196.83184245300293,189.2809603853966
2024-08-01,SELL,XLK,629,208.9351806640625,131420.2286376953,197.13034295654296,131412.37925512416
2024-08-01,BUY,ITB,1130,115.93494415283203,131006.4868927002,196.5097303390503,209.38263208491844
2024-11-01,SELL,ITB,1130,115.24816131591797,130230.4222869873,195.34563343048097,130244.45928564174
2024-11-01,BUY,XLF,2826,45.964508056640625,129895.6997680664,194.84354965209963,153.9159679232398
2024-12-02,SELL,XLF,2826,50.09383010864258,141565.16388702393,212.34774583053593,141506.73210911662
2024-12-02,BUY,XLY,634,222.33575439453125,140960.8682861328,211.4413024291992,334.4225205546245
