date,equity,cash,position_value,position,shares
2017-09-13,100000.0,100000.0,0.0,,0
2017-09-14,100000.0,100000.0,0.0,,0
2017-09-15,100000.0,100000.0,0.0,,0
2017-09-18,100000.0,100000.0,0.0,,0
2017-09-19,100000.0,100000.0,0.0,,0
2017-09-20,100000.0,100000.0,0.0,,0
2017-09-21,100000.0,100000.0,0.0,,0
2017-09-22,100000.0,100000.0,0.0,,0
2017-09-25,100000.0,100000.0,0.0,,0
2017-09-26,100000.0,100000.0,0.0,,0
2017-09-27,100000.0,100000.0,0.0,,0
2017-09-28,100000.0,100000.0,0.0,,0
2017-09-29,100000.0,100000.0,0.0,,0
2017-10-02,100000.0,100000.0,0.0,,0
2017-10-03,100000.0,100000.0,0.0,,0
2017-10-04,100000.0,100000.0,0.0,,0
2017-10-05,100000.0,100000.0,0.0,,0
2017-10-06,100000.0,100000.0,0.0,,0
2017-10-09,100000.0,100000.0,0.0,,0
2017-10-10,100000.0,100000.0,0.0,,0
2017-10-11,100000.0,100000.0,0.0,,0
2017-10-12,100000.0,100000.0,0.0,,0
2017-10-13,100000.0,100000.0,0.0,,0
2017-10-16,100000.0,100000.0,0.0,,0
2017-10-17,100000.0,100000.0,0.0,,0
2017-10-18,100000.0,100000.0,0.0,,0
2017-10-19,100000.0,100000.0,0.0,,0
2017-10-20,100000.0,100000.0,0.0,,0
2017-10-23,100000.0,100000.0,0.0,,0
2017-10-24,100000.0,100000.0,0.0,,0
2017-10-25,100000.0,100000.0,0.0,,0
2017-10-26,100000.0,100000.0,0.0,,0
2017-10-27,100000.0,100000.0,0.0,,0
2017-10-30,100000.0,100000.0,0.0,,0
2017-10-31,100000.0,100000.0,0.0,,0
2017-11-01,99850.384880188,106.97167218018149,99743.41320800781,TAN,4286
2017-11-02,100057.39777767945,106.97167218018149,99950.42610549927,TAN,4286
2017-11-03,100885.49841702271,106.97167218018149,100778.52674484253,TAN,4286
2017-11-06,102748.71259320069,106.97167218018149,102641.74092102051,TAN,4286
2017-11-07,101423.75811016846,106.97167218018149,101316.78643798828,TAN,4286
2017-11-08,102210.43655026246,106.97167218018149,102103.46487808228,TAN,4286
2017-11-09,100926.89609158326,106.97167218018149,100819.92441940308,TAN,4286
2017-11-10,102251.84239971924,106.97167218018149,102144.87072753906,TAN,4286
2017-11-13,103038.53718960572,106.97167218018149,102931.56551742554,TAN,4286
2017-11-14,104115.04840100098,106.97167218018149,104008.0767288208,TAN,4286
2017-11-15,101299.5405617981,106.97167218018149,101192.56888961792,TAN,4286
2017-11-16,102458.87164700318,106.97167218018149,102351.899974823,TAN,4286
2017-11-17,101754.99673092652,106.97167218018149,101648.02505874634,TAN,4286
2017-11-20,103700.98990643311,106.97167218018149,103594.01823425293,TAN,4286
2017-11-21,103493.97700894166,106.97167218018149,103387.00533676147,TAN,4286
2017-11-22,103742.41210568238,106.97167218018149,103635.4404335022,TAN,4286
2017-11-24,105274.37131130982,106.97167218018149,105167.39963912964,TAN,4286
2017-11-27,103411.16531002808,106.97167218018149,103304.1936378479,TAN,4286
2017-11-28,104073.65072644044,106.97167218018149,103966.67905426025,TAN,4286
2017-11-29,101382.35226071168,106.97167218018149,101275.3805885315,TAN,4286
2017-11-30,101837.80025494385,106.97167218018149,101730.82858276367,TAN,4286
2017-12-01,100046.99202816392,128.2370270958054,99918.75500106812,ARKW,2651
2017-12-04,98459.58159344102,128.2370270958054,98331.34456634521,ARKW,2651
2017-12-05,97864.30394451524,128.2370270958054,97736.06691741943,ARKW,2651
2017-12-06,98922.57419674302,128.2370270958054,98794.33716964722,ARKW,2651
2017-12-07,100333.61805431749,128.2370270958054,100205.38102722168,ARKW,2651
2017-12-08,99451.71437923814,128.2370270958054,99323.47735214233,ARKW,2651
2017-12-11,101612.35664074327,128.2370270958054,101484.11961364746,ARKW,2651
2017-12-12,103420.24552242662,128.2370270958054,103292.00849533081,ARKW,2651
