date,action,symbol,shares,price,value,cost,cash_after
2017-11-01,BUY,TAN,4286,23.27191162109375,99743.41320800781,149.6151198120117,106.97167218018149
2017-12-01,SELL,TAN,4286,23.387834548950195,100240.25887680054,150.3603883152008,100196.87016066552
2017-12-01,BUY,ARKW,2651,37.69096755981445,99918.75500106812,149.87813250160218,128.2370270958054
2018-02-01,SELL,ARKW,2651,42.39690017700195,112394.18236923218,168.59127355384828,112353.82812277414
2018-02-01,BUY,XBI,1205,92.9909439086914,112054.08740997314,168.08113111495973,131.65958168603538
2018-03-01,SELL,XBI,1205,88.92798614501953,107158.22330474854,160.7373349571228,107129.14555147744
2018-03-01,BUY,ARKW,2455,43.525333404541016,106854.6935081482,160.2820402622223,114.17000306703267
2018-05-01,SELL,ARKW,2455,42.45629119873047,104230.1948928833,156.34529233932494,104188.01960361101
2018-05-01,BUY,CIBR,4171,24.911102294921875,103904.20767211914,155.85631150817872,127.95561998369521
2018-07-02,SELL,CIBR,4171,25.667644500732422,107059.74521255493,160.58961781883238,107027.1112147198
2018-07-02,BUY,ARKK,2505,42.61418151855469,106748.52470397949,160.12278705596924,118.46372368434095
2018-09-04,SELL,ARKK,2505,45.95042419433594,115105.81260681152,172.6587189102173,115051.61761158565
2018-09-04,BUY,QQQ,647,177.26931762695312,114693.24850463867,172.039872756958,186.32923419002327
2018-10-01,SELL,QQQ,647,177.89410400390625,115097.48529052734,172.64622793579102,115111.16829678157
2018-10-01,BUY,IGV,2829,40.578433990478516,114796.38975906372,172.1945846385956,142.5839530792582
2018-11-01,SELL,IGV,2829,36.751625061035156,103970.34729766846,155.95552094650267,103956.97572980121
2018-11-01,BUY,QQQ,630,164.41134643554688,103579.14825439453,155.3687223815918,222.45875302508648
2018-12-03,SELL,QQQ,630,164.6693572998047,103741.69509887695,155.61254264831544,103808.54130925372
2018-12-03,BUY,TAN,4923,21.033708572387695,103548.94730186462,155.32342095279694,104.27058643629425
2019-01-02,SELL,TAN,4923,18.606975555419922,91602.14065933228,137.4032109889984,91569.00803477957
2019-01-02,BUY,IGV,2662,34.30535125732422,91320.84504699707,136.98126757049562,111.18172021201462
2019-07-01,SELL,IGV,2662,44.092586517333984,117374.46530914307,176.0616979637146,117309.58533139137
2019-07-01,BUY,TAN,4101,28.52937126159668,116998.95154380798,175.49842731571198,135.13536026766815
2020-01-02,SELL,TAN,4101,31.722978591918945,130095.9352054596,195.1439028081894,130035.92666291907
2020-01-02,BUY,SMH,1855,69.92044830322266,129702.43160247803,194.55364740371706,138.94141303731885
2020-03-02,SELL,SMH,1855,65.98656463623047,122405.07740020752,183.60761610031128,122360.41119714452
2020-05-01,BUY,ARKW,2020,60.40767288208008,122023.49922180176,183.03524883270262,153.87672651006142
2020-09-01,SELL,ARKW,2020,110.89307403564453,224004.00955200195,336.00601432800295,223821.880264184
2020-09-01,BUY,TAN,3908,57.11923599243164,223221.97425842285,334.83296138763427,265.0730443735083
2021-05-03,SELL,TAN,3908,81.62037658691406,318972.43170166016,478.4586475524903,318759.04609848117
2021-05-03,BUY,CIBR,7396,42.986846923828125,317930.7198486328,476.8960797729492,351.43017007538583
2021-06-01,SELL,CIBR,7396,43.43871307373047,321272.72189331055,481.9090828399659,321142.24298054597
2021-06-01,BUY,SOXX,2314,138.4049835205078,320269.1318664551,480.4036977996826,392.7074162912322
2021-07-01,SELL,SOXX,2314,143.78598022460938,332720.7582397461,499.0811373596191,332614.3845186777
