,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,52671.09015733628,408853.74365234375
Total Return (%),-47.32890984266373,309.4679455706998
CAGR (%),-5.579525898621562,13.455528591387056
Volatility (%),24.712703531213627,17.023917534006127
Sharpe Ratio,-0.2257756174501218,0.7903896717373639
Sortino Ratio,-0.3000259123502303,0.9549826324176431
Max Drawdown (%),-62.15606475003217,-33.70284919174024
Calmar Ratio,0.08976639562141318,0.39924009138920763
Win Rate (%),49.59118378954852,54.959118378954855
Avg Win (%),1.1279068818608673,0.6934133205641434
Avg Loss (%),-1.221014329832979,-0.7254340467090687
Total Trades,2814.0,2814.0
Alpha (%),-19.03505449000862,0.0
Relative Sharpe,-1.0161652891874857,0.0
Relative Max DD (%),-28.45321555829193,0.0
Relative Volatility (%),7.6887859972075,0.0
