date,action,symbol,shares,price,value,cost,cash_after
2013-12-02,BUY,FXI,3345,29.81395149230957,99727.66774177551,149.59150161266328,122.74075661181996
2014-01-02,SELL,FXI,3345,27.94007110595703,93459.53784942627,140.1893067741394,93442.08929926396
2014-01-02,BUY,EWY,1851,50.35377502441406,93204.83757019043,139.80725635528566,97.44447271824174
2014-02-03,SELL,EWY,1851,46.94729995727539,86899.45222091675,130.34917833137513,86866.54751530361
2014-02-03,BUY,INDA,4340,19.961132049560547,86631.31309509277,129.94696964263917,105.28745056819753
2014-03-03,SELL,INDA,4340,20.90624237060547,90733.09188842773,136.0996378326416,90702.2797011633
2014-03-03,BUY,EWT,5467,16.547626495361328,90465.87405014038,135.69881107521059,100.70683994769934
2014-04-01,SELL,EWT,5467,17.34524154663086,94826.43553543091,142.23965330314635,94784.90272207547
2014-04-01,BUY,INDA,4032,23.44405174255371,94526.41662597656,141.78962493896483,116.69647115994303
2014-05-01,SELL,INDA,4032,23.11150360107422,93185.58251953125,139.77837377929689,93162.5006169119
2014-05-01,BUY,EWZ,3401,27.317211151123047,92905.83512496948,139.35875268745423,117.30673925497103
2014-06-02,SELL,EWZ,3401,26.815872192382812,91200.78132629395,136.80117198944092,91181.28689355947
2014-06-02,BUY,INDA,3567,25.491788864135742,90929.21087837219,136.39381631755828,115.68219886971929
2014-09-02,SELL,INDA,3567,27.487714767456055,98048.67857551575,147.07301786327363,98017.28775652219
2014-09-02,BUY,FXI,3144,31.091650009155273,97752.14762878418,146.62822144317627,118.51190629483608
2014-11-03,SELL,FXI,3144,30.20570945739746,94966.75053405762,142.45012580108644,94942.81231455137
2014-11-03,BUY,INDA,3398,27.8649845123291,94685.21737289429,142.02782605934144,115.56711559773248
2015-01-02,SELL,INDA,3398,26.768728256225586,90960.13861465454,136.44020792198182,90939.26552233029
2015-01-02,BUY,FXI,2814,32.23490905761719,90709.03408813477,136.06355113220215,94.16788306331728
2015-04-01,SELL,FXI,2814,34.95724105834961,98369.6763381958,147.5545145072937,98316.28970675182
2015-04-01,BUY,INDA,3438,28.5216007232666,98057.26328659058,147.08589492988588,111.94052523135906
2015-05-01,SELL,INDA,3438,26.064050674438477,89608.20621871948,134.41230932807923,89585.73443462276
2015-05-01,BUY,MCHI,1717,52.031734466552734,89338.48807907104,134.00773211860655,113.23862343310611
2015-06-01,SELL,MCHI,1717,49.76984786987305,85454.82879257202,128.18224318885805,85439.88517281627
2015-06-01,BUY,FXI,2235,38.12813949584961,85216.39177322388,127.82458765983581,95.6688119325554
2015-07-01,SELL,FXI,2235,35.549652099609375,79453.47244262695,119.18020866394045,79429.96104589557
2015-07-01,BUY,MCHI,1713,46.231685638427734,79194.87749862671,118.79231624794006,116.29123102092126
2015-09-01,SELL,MCHI,1713,34.95627975463867,59880.107219696045,89.82016082954406,59906.578289887424
2015-10-01,BUY,FXI,2152,27.760290145874023,59740.1443939209,89.61021659088135,76.82367937564413
2015-12-01,SELL,FXI,2152,29.25286865234375,62952.17333984375,94.42826000976564,62934.56875920963
2015-12-01,BUY,EWZ,4534,13.843461036682129,62766.25234031677,94.14937851047516,74.16704038238095
2016-01-04,SELL,EWZ,4534,12.360639572143555,56043.13982009888,84.06470973014832,56033.24215075111
2016-01-04,BUY,INDA,2330,23.988006591796875,55892.05535888672,83.83808303833008,57.34870882605901
2016-02-01,SELL,INDA,2330,23.061275482177734,53732.77187347412,80.59915781021118,53709.52142448997
2016-02-01,BUY,EWY,1329,40.30487823486328,53565.1831741333,80.34777476119996,63.99047559547034
2016-03-01,SELL,EWY,1329,40.550384521484375,53891.461029052734,80.83719154357911,53874.61431310463
2016-03-01,BUY,EWH,3996,13.446345329284668,53731.59593582153,80.5973939037323,62.420983379357494
2016-06-01,SELL,EWH,3996,14.365630149841309,57405.05807876587,86.1075871181488,57381.37147502708
2016-06-01,BUY,EWY,1353,42.27737045288086,57201.2822227478,85.80192333412171,94.28732894515997
2016-09-01,SELL,EWY,1353,47.923946380615234,64841.09945297241,97.26164917945863,64838.12513273811
2016-09-01,BUY,EWZ,3079,21.001367568969727,64663.21074485779,96.99481611728669,77.91957176303549
2017-06-01,SELL,EWZ,3079,22.06463623046875,67937.01495361328,101.90552243041992,67913.0290029459
2017-06-01,BUY,INDA,2293,29.54237174987793,67740.6584224701,101.61098763370514,70.75959284210694
2017-07-03,SELL,INDA,2293,29.24934196472168,67068.74112510681,100.60311168766022,67038.89760626126
2017-07-03,BUY,EWY,1151,58.08748245239258,66858.69230270386,100.2880384540558,79.9172651033441
2017-08-01,SELL,EWY,1151,60.186519622802734,69274.68408584595,103.91202612876893,69250.68932482052
2017-08-01,BUY,MCHI,1342,51.43717956542969,69028.69497680664,103.54304246520996,118.45130554866046
2017-10-02,SELL,MCHI,1342,54.54180908203125,73195.10778808594,109.79266168212891,73203.76643195246
2017-10-02,BUY,EWZ,2745,26.598716735839844,73013.47743988037,109.52021615982056,80.76877591227822
2017-12-01,SELL,EWZ,2745,24.883695602416992,68305.74442863464,102.45861664295197,68284.05458790397
2017-12-01,BUY,EWH,3482,19.561351776123047,68112.62688446045,102.16894032669069,69.25876311682805
2018-01-02,SELL,EWH,3482,20.22751235961914,70432.19803619385,105.64829705429078,70395.80850225639
2018-01-02,BUY,INDA,2136,32.86256408691406,70194.43688964844,105.29165533447267,96.07995727348316
2018-02-01,SELL,INDA,2136,33.31721496582031,71165.57116699219,106.74835675048828,71154.90276751519
2018-02-01,BUY,EWZ,2357,30.103822708129883,70954.71012306213,106.43206518459321,93.7605792684626
2018-04-02,SELL,EWZ,2357,28.460737228393555,67081.95764732361,100.62293647098541,67075.09529012108
2018-04-02,BUY,EWT,2710,24.683076858520508,66891.13828659058,100.33670742988586,83.62029610062018
2018-05-01,SELL,EWT,2710,23.826251983642578,64569.14287567139,96.85371431350708,64555.9094574585
2018-05-01,BUY,INDA,2032,31.680456161499023,64374.686920166016,96.56203038024901,84.6605069122379
2018-06-01,SELL,INDA,2032,30.743864059448242,62471.53176879883,93.70729765319824,62462.484978057866
2018-06-01,BUY,MCHI,1023,60.86613082885742,62266.05183792114,93.39907775688172,103.03406237984018
2018-09-04,SELL,MCHI,1023,52.497371673583984,53704.811222076416,80.55721683311462,53727.28806762314
2018-09-04,BUY,INDA,1697,31.57830238342285,53588.37914466858,80.38256871700287,58.52635423756146
2018-10-01,SELL,INDA,1697,29.520429611206055,50096.169050216675,75.14425357532501,50079.55115087891
2018-10-01,BUY,EWY,833,59.943878173828125,49933.25051879883,74.89987577819824,71.40075630188949
2018-11-01,SELL,EWY,833,52.498313903808594,43731.09548187256,65.59664322280884,43736.89959495164
2018-11-01,BUY,EWZ,1622,26.888757705688477,43613.56499862671,65.42034749794006,57.91424882699357
2018-12-03,SELL,EWZ,1622,26.194429397583008,42487.36448287964,63.73104672431946,42481.54768498231
2018-12-03,BUY,INDA,1400,30.267091751098633,42373.928451538086,63.56089267730712,44.05834076691826
2019-02-01,SELL,INDA,1400,29.821792602539062,41750.50964355469,62.625764465332026,41731.942219856275
2019-02-01,BUY,EWY,726,57.269412994384766,41577.59383392334,62.366390750885,91.98199518205365
2019-03-01,SELL,EWY,726,56.38407516479492,40934.83856964111,61.40225785446167,40965.418306968706
