,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,401364.2139570815,591949.9970626831
Total Return (%),301.3642139570815,492.83925594660303
CAGR (%),11.170830350635619,14.524746320876126
Volatility (%),32.85983653920157,16.548156483901366
Sharpe Ratio,0.33995392330417995,0.8777259469963506
Sortino Ratio,0.503609449581751,1.0745175277690244
Max Drawdown (%),-63.163499003666836,-33.7073603704632
Calmar Ratio,0.1768557873905484,0.43090726064695795
Win Rate (%),49.57652752571083,55.172413793103445
Avg Win (%),1.5213936299668844,0.6827106594006156
Avg Loss (%),-1.4850901438316053,-0.7132657659880766
Total Trades,3307.0,3307.0
Alpha (%),-3.3539159702405072,0.0
Relative Sharpe,-0.5377720236921707,0.0
Relative Max DD (%),-29.456138633203636,0.0
Relative Volatility (%),16.3116800553002,0.0
