date,equity,cash,position_value,position,shares
2011-11-07,100000.0,100000.0,0.0,,0
2011-11-08,100000.0,100000.0,0.0,,0
2011-11-09,100000.0,100000.0,0.0,,0
2011-11-10,100000.0,100000.0,0.0,,0
2011-11-11,100000.0,100000.0,0.0,,0
2011-11-14,100000.0,100000.0,0.0,,0
2011-11-15,100000.0,100000.0,0.0,,0
2011-11-16,100000.0,100000.0,0.0,,0
2011-11-17,100000.0,100000.0,0.0,,0
2011-11-18,100000.0,100000.0,0.0,,0
2011-11-21,100000.0,100000.0,0.0,,0
2011-11-22,100000.0,100000.0,0.0,,0
2011-11-23,100000.0,100000.0,0.0,,0
2011-11-25,100000.0,100000.0,0.0,,0
2011-11-28,100000.0,100000.0,0.0,,0
2011-11-29,100000.0,100000.0,0.0,,0
2011-11-30,100000.0,100000.0,0.0,,0
2011-12-01,100000.0,100000.0,0.0,,0
2011-12-02,100000.0,100000.0,0.0,,0
2011-12-05,100000.0,100000.0,0.0,,0
2011-12-06,100000.0,100000.0,0.0,,0
2011-12-07,100000.0,100000.0,0.0,,0
2011-12-08,100000.0,100000.0,0.0,,0
2011-12-09,100000.0,100000.0,0.0,,0
2011-12-12,100000.0,100000.0,0.0,,0
2011-12-13,100000.0,100000.0,0.0,,0
2011-12-14,100000.0,100000.0,0.0,,0
2011-12-15,100000.0,100000.0,0.0,,0
2011-12-16,100000.0,100000.0,0.0,,0
2011-12-19,100000.0,100000.0,0.0,,0
2011-12-20,100000.0,100000.0,0.0,,0
2011-12-21,100000.0,100000.0,0.0,,0
2011-12-22,100000.0,100000.0,0.0,,0
2011-12-23,100000.0,100000.0,0.0,,0
2011-12-27,100000.0,100000.0,0.0,,0
2011-12-28,100000.0,100000.0,0.0,,0
2011-12-29,100000.0,100000.0,0.0,,0
2011-12-30,100000.0,100000.0,0.0,,0
2012-01-03,99850.38060016632,104.11404438018508,99746.26655578613,AMLP,3485
2012-01-04,100509.74067516327,104.11404438018508,100405.62663078308,AMLP,3485
2012-01-05,100809.48545284271,104.11404438018508,100705.37140846252,AMLP,3485
