date,action,symbol,shares,price,value,cost,cash_after
2012-01-03,BUY,AMLP,3485,28.621597290039062,99746.26655578613,149.6193998336792,104.11404438018508
2012-02-01,SELL,AMLP,3485,29.137611389160156,101544.57569122314,152.31686353683472,101496.3728720665
2012-02-01,BUY,URA,2363,42.84165573120117,101234.83249282837,151.85224873924255,109.68813049887831
2012-03-01,SELL,URA,2363,44.45753860473633,105053.16372299194,157.5797455844879,105005.27210790633
2012-03-01,BUY,XOP,545,191.9003448486328,104585.68794250488,156.87853191375734,262.7056334876979
2012-04-02,SELL,XOP,545,184.30406188964844,100445.7137298584,150.66857059478758,100557.7507927513
2012-04-02,BUY,LIT,3548,28.26874351501465,100297.50199127197,150.44625298690795,109.8025484924292
2012-05-01,SELL,LIT,3548,26.481061935424805,93954.8077468872,140.9322116203308,93923.67808375931
2012-05-01,BUY,AMLP,3188,29.386154174804688,93683.05950927734,140.52458926391603,100.09398521804542
2012-09-04,SELL,AMLP,3188,29.40232276916504,93734.60498809814,140.60190748214723,93694.09706583404
2012-09-04,BUY,XLE,2120,44.081153869628906,93452.04620361328,140.1780693054199,101.87279291533923
2012-10-01,SELL,XLE,2120,46.037689208984375,97599.90112304688,146.3998516845703,97555.37406427764
2012-10-01,BUY,OIH,150,647.3738403320312,97106.07604980469,145.65911407470702,303.63890039824764
2012-11-01,SELL,OIH,150,626.030029296875,93904.50439453125,140.85675659179688,94067.2865383377
2012-11-01,BUY,XOP,539,173.864013671875,93712.70336914062,140.56905505371094,214.01411414337053
2013-02-01,SELL,XOP,539,188.83639526367188,101782.81704711914,152.67422557067871,101844.15693569183
2013-02-01,BUY,TAN,6400,15.8712739944458,101576.15356445312,152.36423034667968,115.63914089203172
2014-06-02,SELL,TAN,6400,36.242862701416016,231954.3212890625,347.9314819335938,231722.02894802095
2014-06-02,BUY,FCG,2782,83.05887603759766,231069.79313659668,346.604689704895,305.63112171937246
2014-08-01,SELL,FCG,2782,76.72064208984375,213436.8262939453,320.15523944091797,213422.30217622378
2014-08-01,BUY,OIH,240,884.3954467773438,212254.9072265625,318.3823608398437,849.0125888214388
2014-10-01,SELL,OIH,240,790.7227783203125,189773.466796875,284.6602001953125,190337.81918550114
2014-10-01,BUY,AMLP,4919,38.596282958984375,189855.11587524414,284.7826738128662,197.92063644411974
2014-12-01,SELL,AMLP,4919,36.275978088378906,178441.53621673584,267.6623043251038,178371.79454885484
2014-12-01,BUY,NLR,4602,38.66004180908203,177913.5124053955,266.8702686080933,191.411874851241
2015-03-02,SELL,NLR,4602,36.77806854248047,169252.67143249512,253.8790071487427,169190.20430019763
2015-03-02,BUY,TAN,4597,36.71101760864258,168760.54794692993,253.1408219203949,176.51553134730784
2015-05-01,SELL,TAN,4597,43.036441802978516,197838.52296829224,296.7577844524384,197718.2807151871
2015-05-01,BUY,URA,11501,17.14844512939453,197224.2674331665,295.8364011497498,198.17688087085844
2015-06-01,SELL,URA,11501,16.012104034423828,184155.20849990845,276.23281274986266,184077.15256802944
2015-06-01,BUY,NLR,4838,37.95095443725586,183606.71756744385,275.41007635116574,195.0249242344289
2015-07-01,SELL,NLR,4838,35.821815490722656,173305.9433441162,259.9589150161743,173241.00935333446
2015-07-01,BUY,IXC,7527,22.956663131713867,172794.80339241028,259.1922050886154,187.01375583556364
2015-08-03,SELL,IXC,7527,21.31879234313965,160466.54996681213,240.6998249502182,160412.86389769748
2015-08-03,BUY,NLR,4272,37.450416564941406,159988.1795654297,239.98226934814454,184.7020629196486
2015-09-01,SELL,NLR,4272,34.21562957763672,146169.16955566406,219.2537543334961,146134.6178642502
2015-09-01,BUY,AMLP,4686,31.105300903320312,145759.44003295898,218.6391600494385,156.53867124178214
2015-10-01,SELL,AMLP,4686,28.398578643798828,133075.7395248413,199.61360928726197,133032.66458679584
