,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,86661.41956175324,485837.3203277588
Total Return (%),-13.338580438246762,386.5671710843854
CAGR (%),-1.1965432274176235,14.22936781634716
Volatility (%),23.249890179555578,16.742237465271035
Sharpe Ratio,-0.05146446792552099,0.849908373708329
Sortino Ratio,-0.0644888735731127,1.027565357786447
Max Drawdown (%),-58.4032498176297,-33.70342456245175
Calmar Ratio,0.020487613808374633,0.422193530808136
Win Rate (%),51.902536715620826,55.24032042723631
Avg Win (%),1.0001671501459948,0.6850461818908165
Avg Loss (%),-1.1601342831301442,-0.719790092661755
Total Trades,2997.0,2997.0
Alpha (%),-15.425911043764785,0.0
Relative Sharpe,-0.9013728416338499,0.0
Relative Max DD (%),-24.69982525517795,0.0
Relative Volatility (%),6.507652714284543,0.0
