date,equity,cash,position_value,position,shares
2013-02-04,100000.0,100000.0,0.0,,0
2013-02-05,100000.0,100000.0,0.0,,0
2013-02-06,100000.0,100000.0,0.0,,0
2013-02-07,100000.0,100000.0,0.0,,0
2013-02-08,100000.0,100000.0,0.0,,0
2013-02-11,100000.0,100000.0,0.0,,0
2013-02-12,100000.0,100000.0,0.0,,0
2013-02-13,100000.0,100000.0,0.0,,0
2013-02-14,100000.0,100000.0,0.0,,0
2013-02-15,100000.0,100000.0,0.0,,0
2013-02-19,100000.0,100000.0,0.0,,0
2013-02-20,100000.0,100000.0,0.0,,0
2013-02-21,100000.0,100000.0,0.0,,0
2013-02-22,100000.0,100000.0,0.0,,0
2013-02-25,100000.0,100000.0,0.0,,0
2013-02-26,100000.0,100000.0,0.0,,0
2013-02-27,100000.0,100000.0,0.0,,0
2013-02-28,100000.0,100000.0,0.0,,0
2013-03-01,100000.0,100000.0,0.0,,0
2013-03-04,100000.0,100000.0,0.0,,0
2013-03-05,100000.0,100000.0,0.0,,0
2013-03-06,100000.0,100000.0,0.0,,0
2013-03-07,100000.0,100000.0,0.0,,0
2013-03-08,100000.0,100000.0,0.0,,0
2013-03-11,100000.0,100000.0,0.0,,0
2013-03-12,100000.0,100000.0,0.0,,0
2013-03-13,100000.0,100000.0,0.0,,0
2013-03-14,100000.0,100000.0,0.0,,0
2013-03-15,100000.0,100000.0,0.0,,0
2013-03-18,100000.0,100000.0,0.0,,0
2013-03-19,100000.0,100000.0,0.0,,0
2013-03-20,100000.0,100000.0,0.0,,0
2013-03-21,100000.0,100000.0,0.0,,0
2013-03-22,100000.0,100000.0,0.0,,0
2013-03-25,100000.0,100000.0,0.0,,0
2013-03-26,100000.0,100000.0,0.0,,0
2013-03-27,100000.0,100000.0,0.0,,0
2013-03-28,100000.0,100000.0,0.0,,0
2013-04-01,99850.39722328186,115.21274452209764,99735.18447875977,IWM,1262
2013-04-02,99229.46842079163,115.21274452209764,99114.25567626953,IWM,1262
2013-04-03,97677.11752967835,115.21274452209764,97561.90478515625,IWM,1262
2013-04-04,98512.15074806214,115.21274452209764,98396.93800354004,IWM,1262
2013-04-05,98319.45003395081,115.21274452209764,98204.23728942871,IWM,1262
2013-04-08,99133.08917884827,115.21274452209764,99017.87643432617,IWM,1262
2013-04-09,98844.07662086487,115.21274452209764,98728.86387634277,IWM,1262
2013-04-10,100631.90674476624,115.21274452209764,100516.69400024414,IWM,1262
2013-04-11,100771.08376197815,115.21274452209764,100655.87101745605,IWM,1262
2013-04-12,100364.27863197327,115.21274452209764,100249.06588745117,IWM,1262
2013-04-15,96585.13397865296,115.21274452209764,96469.92123413086,IWM,1262
2013-04-16,98255.22930030823,115.21274452209764,98140.01655578613,IWM,1262
2013-04-17,96552.99472694397,115.21274452209764,96437.78198242188,IWM,1262
2013-04-18,96017.70961647034,115.21274452209764,95902.49687194824,IWM,1262
2013-04-19,97120.40946083069,115.21274452209764,97005.1967163086,IWM,1262
2013-04-22,97398.75386695862,115.21274452209764,97283.54112243652,IWM,1262
2013-04-23,98940.39809303284,115.21274452209764,98825.18534851074,IWM,1262
2013-04-24,99454.26987342835,115.21274452209764,99339.05712890625,IWM,1262
2013-04-25,100107.34755592346,115.21274452209764,99992.13481140137,IWM,1262
2013-04-26,99572.06244544983,115.21274452209764,99456.84970092773,IWM,1262
2013-04-29,100289.34160499573,115.21274452209764,100174.12886047363,IWM,1262
2013-04-30,100856.75633888245,115.21274452209764,100741.54359436035,IWM,1262
2013-05-01,98121.34568782139,105.97940631199162,98015.3662815094,INDA,4289
2013-05-02,100065.19966311741,105.97940631199162,99959.22025680542,INDA,4289
2013-05-03,99616.59909816075,105.97940631199162,99510.61969184875,INDA,4289
2013-05-06,99317.57295794773,105.97940631199162,99211.59355163574,INDA,4289
2013-05-07,100065.19966311741,105.97940631199162,99959.22025680542,INDA,4289
2013-05-08,100887.6217612772,105.97940631199162,100781.64235496521,INDA,4289
2013-05-09,99205.42486186314,105.97940631199162,99099.44545555115,INDA,4289
2013-05-10,99467.10647959996,105.97940631199162,99361.12707328796,INDA,4289
2013-05-13,97672.7614841013,105.97940631199162,97566.7820777893,INDA,4289
2013-05-14,98457.78997607518,105.97940631199162,98351.81056976318,INDA,4289
2013-05-15,100177.33957858372,105.97940631199162,100071.36017227173,INDA,4289
2013-05-16,100289.50403590489,105.97940631199162,100183.5246295929,INDA,4289
2013-05-17,100625.9319629221,105.97940631199162,100519.95255661011,INDA,4289
2013-05-20,100139.98687548924,105.97940631199162,100034.00746917725,INDA,4289
2013-05-21,99205.42486186314,105.97940631199162,99099.44545555115,INDA,4289
2013-05-22,97560.6133880167,105.97940631199162,97454.63398170471,INDA,4289
2013-05-23,96102.71268077183,105.97940631199162,95996.73327445984,INDA,4289
2013-05-24,96027.97455210972,105.97940631199162,95921.99514579773,INDA,4289
2013-05-28,97448.4734725504,105.97940631199162,97342.4940662384,INDA,4289
2013-05-29,96401.77972407627,105.97940631199162,96295.80031776428,INDA,4289
2013-05-30,96663.46952243138,105.97940631199162,96557.49011611938,INDA,4289
2013-05-31,93897.18526835728,105.97940631199162,93791.20586204529,INDA,4289
2013-06-03,94652.3292827406,94652.3292827406,0.0,,0
2013-06-04,94652.3292827406,94652.3292827406,0.0,,0
2013-06-05,94652.3292827406,94652.3292827406,0.0,,0
2013-06-06,94652.3292827406,94652.3292827406,0.0,,0
2013-06-07,94652.3292827406,94652.3292827406,0.0,,0
2013-06-10,94652.3292827406,94652.3292827406,0.0,,0
