date,action,symbol,shares,price,value,cost,cash_after
2013-04-01,BUY,IWM,1262,79.02946472167969,99735.18447875977,149.60277671813964,115.21274452209764
2013-05-01,SELL,IWM,1262,77.89271545410156,98300.60690307617,147.45091035461425,98268.36873724365
2013-05-01,BUY,INDA,4289,22.852731704711914,98015.3662815094,147.0230494222641,105.97940631199162
2013-06-03,SELL,INDA,4289,22.077030181884766,94688.38245010376,142.03257367515565,94652.3292827406
2013-07-01,BUY,QQQ,1458,64.71554565429688,94355.26556396484,141.53289834594727,155.53082042980532
2013-08-01,SELL,QQQ,1458,69.07443237304688,100710.52239990234,151.06578359985352,100714.98743673229
2013-08-01,BUY,IWM,1122,89.52344512939453,100445.30543518066,150.667958152771,119.0140433988563
2013-10-01,SELL,IWM,1122,92.1366958618164,103377.37275695801,155.066059135437,103341.32074122143
2013-10-01,BUY,FXI,3658,28.173025131225586,103056.9259300232,154.58538889503478,129.80942230319488
2013-11-01,SELL,FXI,3658,28.345361709594727,103687.33313369751,155.53099970054626,103661.61155630015
2013-11-01,BUY,EWZ,3622,28.54429054260254,103387.4203453064,155.0811305179596,119.11008047578798
2013-12-02,SELL,EWZ,3622,26.07643699645996,94448.85480117798,141.673282201767,94426.291599452
2013-12-02,BUY,QQQ,1217,77.37406158447266,94164.23294830322,141.24634942245484,120.81230172632786
2014-05-01,SELL,QQQ,1217,80.10346221923828,97485.91352081299,146.22887028121949,97460.4969522581
2014-05-01,BUY,INDA,4206,23.111507415771484,97207.00019073486,145.8105002861023,107.6862612371333
2014-09-02,SELL,INDA,4206,27.48771858215332,115613.34435653687,173.4200165348053,115547.6106012392
2014-09-02,BUY,FXI,3707,31.091651916503906,115256.75365447998,172.88513048171995,117.97181627749524
2014-11-03,SELL,FXI,3707,30.205711364746094,111972.57202911377,167.95885804367066,111922.5849873476
2014-11-03,BUY,QQQ,1195,93.41525268554688,111631.22695922852,167.44684043884277,123.91118768023443
2015-03-02,SELL,QQQ,1195,100.84398651123047,120508.56388092041,180.7628458213806,120451.71222277926
2015-03-02,BUY,FXI,3542,33.91316604614258,120120.43413543701,180.18065120315552,151.09743613908358
2015-08-03,SELL,FXI,3542,31.009740829467773,109836.50201797485,164.75475302696228,109822.84470108697
2015-08-03,BUY,QQQ,1059,103.36455535888672,109463.06412506104,164.19459618759157,195.58597983834625
2015-11-02,SELL,QQQ,1059,106.41068267822266,112688.9129562378,169.0333694343567,112715.46556664178
2015-11-02,BUY,GLD,1035,108.58999633789062,112390.6462097168,168.5859693145752,156.2333876104094
2015-12-01,SELL,GLD,1035,102.27999877929688,105859.79873657227,158.78969810485842,105857.24242607782
2015-12-01,BUY,QQQ,987,106.92131805419922,105531.34091949463,158.29701137924195,167.60449520395196
2016-03-01,SELL,QQQ,987,98.52166748046875,97240.88580322266,145.86132870483397,97262.62896972177
