,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,386556.24222182843,682312.646408081
Total Return (%),286.5562422218284,583.3376528874122
CAGR (%),9.451103014528117,13.696105644462065
Volatility (%),19.917099020565193,17.046924894063356
Sharpe Ratio,0.4745220679361728,0.8034355597607975
Sortino Ratio,0.622498386945469,0.983330355054521
Max Drawdown (%),-34.46238898618158,-33.71044843556439
Calmar Ratio,0.2742439886659551,0.4062866642264162
Win Rate (%),52.624602332979855,55.302226935312824
Avg Win (%),0.8911745289712965,0.7005349518962766
Avg Loss (%),-0.9650805699291143,-0.7450760626293292
Total Trades,3773.0,3773.0
Alpha (%),-4.245002629933948,0.0
Relative Sharpe,-0.3289134918246247,0.0
Relative Max DD (%),-0.7519405506171921,0.0
Relative Volatility (%),2.870174126501837,0.0
