date,equity,cash,position_value,position,shares
2010-01-04,100000.0,100000.0,0.0,,0
2010-01-05,100000.0,100000.0,0.0,,0
2010-01-06,100000.0,100000.0,0.0,,0
2010-01-07,100000.0,100000.0,0.0,,0
2010-01-08,100000.0,100000.0,0.0,,0
2010-01-11,100000.0,100000.0,0.0,,0
2010-01-12,100000.0,100000.0,0.0,,0
2010-01-13,100000.0,100000.0,0.0,,0
2010-01-14,100000.0,100000.0,0.0,,0
2010-01-15,100000.0,100000.0,0.0,,0
2010-01-19,100000.0,100000.0,0.0,,0
2010-01-20,100000.0,100000.0,0.0,,0
2010-01-21,100000.0,100000.0,0.0,,0
2010-01-22,100000.0,100000.0,0.0,,0
2010-01-25,100000.0,100000.0,0.0,,0
2010-01-26,100000.0,100000.0,0.0,,0
2010-01-27,100000.0,100000.0,0.0,,0
2010-01-28,100000.0,100000.0,0.0,,0
2010-01-29,100000.0,100000.0,0.0,,0
2010-02-01,100000.0,100000.0,0.0,,0
2010-02-02,100000.0,100000.0,0.0,,0
2010-02-03,100000.0,100000.0,0.0,,0
2010-02-04,100000.0,100000.0,0.0,,0
2010-02-05,100000.0,100000.0,0.0,,0
2010-02-08,100000.0,100000.0,0.0,,0
2010-02-09,100000.0,100000.0,0.0,,0
2010-02-10,100000.0,100000.0,0.0,,0
2010-02-11,100000.0,100000.0,0.0,,0
2010-02-12,100000.0,100000.0,0.0,,0
2010-02-16,100000.0,100000.0,0.0,,0
2010-02-17,100000.0,100000.0,0.0,,0
2010-02-18,100000.0,100000.0,0.0,,0
2010-02-19,100000.0,100000.0,0.0,,0
2010-02-22,100000.0,100000.0,0.0,,0
2010-02-23,100000.0,100000.0,0.0,,0
2010-02-24,100000.0,100000.0,0.0,,0
2010-02-25,100000.0,100000.0,0.0,,0
2010-02-26,100000.0,100000.0,0.0,,0
2010-03-01,99850.38109140396,104.44202737808519,99745.93906402588,VNQ,4110
2010-03-02,99894.71178369522,104.44202737808519,99790.26975631714,VNQ,4110
2010-03-03,99628.78250436783,104.44202737808519,99524.34047698975,VNQ,4110
2010-03-04,100249.27109079361,104.44202737808519,100144.82906341553,VNQ,4110
2010-03-05,102975.07168130875,104.44202737808519,102870.62965393066,VNQ,4110
2010-03-08,104016.65872888565,104.44202737808519,103912.21670150757,VNQ,4110
2010-03-09,104260.37954645157,104.44202737808519,104155.93751907349,VNQ,4110
2010-03-10,105191.15162210465,104.44202737808519,105086.70959472656,VNQ,4110
2010-03-11,105811.66372613907,104.44202737808519,105707.22169876099,VNQ,4110
2010-03-12,106653.76657800675,104.44202737808519,106549.32455062866,VNQ,4110
2010-03-15,106410.02224283219,104.44202737808519,106305.5802154541,VNQ,4110
2010-03-16,108980.66932992935,104.44202737808519,108876.22730255127,VNQ,4110
2010-03-17,110598.42211084366,104.44202737808519,110493.98008346558,VNQ,4110
2010-03-18,110000.0400765419,104.44202737808519,109895.59804916382,VNQ,4110
2010-03-19,108803.36223917008,104.44202737808519,108698.92021179199,VNQ,4110
2010-03-22,110177.35500650406,104.44202737808519,110072.91297912598,VNQ,4110
2010-03-23,109867.07935647965,104.44202737808519,109762.63732910156,VNQ,4110
2010-03-24,110465.41435556412,104.44202737808519,110360.97232818604,VNQ,4110
2010-03-25,110735.6081612587,104.44202737808519,110631.16613388062,VNQ,4110
2010-03-26,110155.07599191666,104.44202737808519,110050.63396453857,VNQ,4110
2010-03-29,110489.9980957985,104.44202737808519,110385.55606842041,VNQ,4110
2010-03-30,110333.67655115128,104.44202737808519,110229.2345237732,VNQ,4110
2010-03-31,109083.36288766861,104.44202737808519,108978.92086029053,VNQ,4110
2010-04-01,109641.54548959732,104.44202737808519,109537.10346221924,VNQ,4110
2010-04-05,112052.88429574967,104.44202737808519,111948.44226837158,VNQ,4110
2010-04-06,114620.52112894059,104.44202737808519,114516.0791015625,VNQ,4110
2010-04-07,112097.52071695328,104.44202737808519,111993.0786895752,VNQ,4110
2010-04-08,112231.51621179581,104.44202737808519,112127.07418441772,VNQ,4110
2010-04-09,113816.74413995743,104.44202737808519,113712.30211257935,VNQ,4110
2010-04-12,113102.31054620743,104.44202737808519,112997.86851882935,VNQ,4110
2010-04-13,115870.83479242325,104.44202737808519,115766.39276504517,VNQ,4110
2010-04-14,116049.42751245499,104.44202737808519,115944.9854850769,VNQ,4110
2010-04-15,112878.98733453751,104.44202737808519,112774.54530715942,VNQ,4110
2010-04-16,110289.00093393326,104.44202737808519,110184.55890655518,VNQ,4110
2010-04-19,110780.24458246231,104.44202737808519,110675.80255508423,VNQ,4110
2010-04-20,112655.71899728775,104.44202737808519,112551.27696990967,VNQ,4110
2010-04-21,114620.52112894059,104.44202737808519,114516.0791015625,VNQ,4110
2010-04-22,116384.38097314835,104.44202737808519,116279.93894577026,VNQ,4110
2010-04-23,117924.9568017006,104.44202737808519,117820.51477432251,VNQ,4110
2010-04-26,118862.682250309,104.44202737808519,118758.24022293091,VNQ,4110
2010-04-27,115067.07348184586,104.44202737808519,114962.63145446777,VNQ,4110
2010-04-28,115424.29811792374,104.44202737808519,115319.85609054565,VNQ,4110
2010-04-29,120626.50289850235,104.44202737808519,120522.06087112427,VNQ,4110
2010-04-30,116875.55406885147,104.44202737808519,116771.11204147339,VNQ,4110
2010-05-03,120399.121881773,132.28557043266483,120266.83631134033,XLY,4102
2010-05-04,116877.76806860161,132.28557043266483,116745.48249816895,XLY,4102
2010-05-05,115218.69289999199,132.28557043266483,115086.40732955933,XLY,4102
2010-05-06,111121.71587209892,132.28557043266483,110989.43030166626,XLY,4102
2010-05-07,109090.22096471977,132.28557043266483,108957.93539428711,XLY,4102
2010-05-10,114778.52562933159,132.28557043266483,114646.24005889893,XLY,4102
2010-05-11,114744.6557753582,132.28557043266483,114612.37020492554,XLY,4102
2010-05-12,116403.68400030327,132.28557043266483,116271.3984298706,XLY,4102
2010-05-13,113796.64411764336,132.28557043266483,113664.3585472107,XLY,4102
2010-05-14,111900.47214727593,132.28557043266483,111768.18657684326,XLY,4102
2010-05-17,112746.9759543438,132.28557043266483,112614.69038391113,XLY,4102
2010-05-18,110647.72569112969,132.28557043266483,110515.44012069702,XLY,4102
2010-05-19,109970.51638632012,132.28557043266483,109838.23081588745,XLY,4102
2010-05-20,105704.30744772148,132.28557043266483,105572.02187728882,XLY,4102
2010-05-21,107566.53132467461,132.28557043266483,107434.24575424194,XLY,4102
2010-05-24,106821.66837530327,132.28557043266483,106689.3828048706,XLY,4102
2010-05-25,107905.15944891167,132.28557043266483,107772.873878479,XLY,4102
2010-05-26,107566.53132467461,132.28557043266483,107434.24575424194,XLY,4102
2010-05-27,111426.48196630669,132.28557043266483,111294.19639587402,XLY,4102
2010-05-28,109733.5212958355,132.28557043266483,109601.23572540283,XLY,4102
2010-06-01,107751.06608109093,111.73735336876416,107639.32872772217,XLP,6218
2010-06-02,109593.50058273888,111.73735336876416,109481.76322937012,XLP,6218
2010-06-03,109757.2975759945,111.73735336876416,109645.56022262573,XLP,6218
2010-06-04,106850.34272675133,111.73735336876416,106738.60537338257,XLP,6218
2010-06-07,106031.44077972985,111.73735336876416,105919.70342636108,XLP,6218
2010-06-08,107751.06608109093,111.73735336876416,107639.32872772217,XLP,6218
2010-06-09,107546.32873444176,111.73735336876416,107434.591381073,XLP,6218
2010-06-10,109388.77509598351,111.73735336876416,109277.03774261475,XLP,6218
2010-06-11,108488.05174164391,111.73735336876416,108376.31438827515,XLP,6218
2010-06-14,109102.24006180382,111.73735336876416,108990.50270843506,XLP,6218
2010-06-15,110207.6533232174,111.73735336876416,110095.91596984863,XLP,6218
2010-06-16,109470.70324234581,111.73735336876416,109358.96588897705,XLP,6218
2010-06-17,110453.31916336632,111.73735336876416,110341.58180999756,XLP,6218
2010-06-18,110049.18142227746,111.73735336876416,109937.44406890869,XLP,6218
2010-06-21,109760.53532700158,111.73735336876416,109648.79797363281,XLP,6218
2010-06-22,108564.61921600915,111.73735336876416,108452.88186264038,XLP,6218
2010-06-23,109265.66939835167,111.73735336876416,109153.93204498291,XLP,6218
2010-06-24,107946.07831482506,111.73735336876416,107834.3409614563,XLP,6218
2010-06-25,106832.71892456627,111.73735336876416,106720.98157119751,XLP,6218
2010-06-28,107739.89406113244,111.73735336876416,107628.15670776367,XLP,6218
2010-06-29,106007.95819000817,111.73735336876416,105896.2208366394,XLP,6218
2010-06-30,105265.7660360775,111.73735336876416,105154.02868270874,XLP,6218
2010-07-01,105156.27287979507,120.14231796645618,105036.13056182861,XLU,6313
2010-07-02,105268.26707573318,120.14231796645618,105148.12475776672,XLU,6313
2010-07-06,106500.50425835037,120.14231796645618,106380.36194038391,XLU,6313
2010-07-07,109786.34966774368,120.14231796645618,109666.20734977722,XLU,6313
2010-07-08,110645.16850777053,120.14231796645618,110525.02618980408,XLU,6313
2010-07-09,111391.95702858352,120.14231796645618,111271.81471061707,XLU,6313
2010-07-12,111765.36333008193,120.14231796645618,111645.22101211548,XLU,6313
2010-07-13,112138.74554939651,120.14231796645618,112018.60323143005,XLU,6313
2010-07-14,112176.07293434524,120.14231796645618,112055.93061637878,XLU,6313
2010-07-15,112922.88553734207,120.14231796645618,112802.74321937561,XLU,6313
2010-07-16,110981.22334213638,120.14231796645618,110861.08102416992,XLU,6313
2010-07-19,112698.82489891433,120.14231796645618,112578.68258094788,XLU,6313
2010-07-20,113706.98940201187,120.14231796645618,113586.84708404541,XLU,6313
2010-07-21,111952.0725013771,120.14231796645618,111831.93018341064,XLU,6313
2010-07-22,113744.38903351211,120.14231796645618,113624.24671554565,XLU,6313
