date,action,symbol,shares,price,value,cost,cash_after
2010-03-01,BUY,VNQ,4110,24.269084930419922,99745.93906402588,149.6189085960388,104.44202737808519
2010-05-03,SELL,VNQ,4110,29.356706619262695,120656.06420516968,180.98409630775453,120579.52213624
2010-05-03,BUY,XLY,4102,29.319072723388672,120266.83631134033,180.4002544670105,132.28557043266483
2010-06-01,SELL,XLY,4102,26.314517974853516,107942.15273284912,161.91322909927368,107912.52507418251
2010-06-01,BUY,XLP,6218,17.310924530029297,107639.32872772217,161.45899309158327,111.73735336876416
2010-07-01,SELL,XLP,6218,16.94437599182129,105360.12991714478,158.04019487571716,105313.82707563782
2010-07-01,BUY,XLU,6313,16.63806915283203,105036.13056182861,157.55419584274293,120.14231796645618
2010-08-02,SELL,XLU,6313,18.335580825805664,115752.52175331116,173.62878262996674,115699.03528864765
2010-08-02,BUY,XLB,4890,23.598987579345703,115399.04926300049,173.09857389450073,126.88745175265649
2010-09-01,SELL,XLB,4890,22.95283317565918,112239.35422897339,168.3590313434601,112197.88264938259
2010-09-01,BUY,XLU,6010,18.61949348449707,111903.15584182739,167.8547337627411,126.87207379245956
2010-10-01,SELL,XLU,6010,18.85231590270996,113302.41857528687,169.9536278629303,113259.3370212164
2010-10-01,BUY,XLK,6006,18.808462142944336,112963.62363052368,169.44543544578553,126.26795524693443
2010-12-01,SELL,XLK,6006,19.976327896118164,119977.8253440857,179.96673801612855,119924.1265613165
2010-12-01,BUY,XLE,3068,38.98152542114258,119595.31999206543,179.39297998809815,149.41358926297107
2011-01-03,SELL,XLE,3068,41.69573211669922,127922.5061340332,191.8837592010498,127880.03596409512
2011-01-03,BUY,XLB,4460,28.59538459777832,127535.41530609131,191.30312295913697,153.31753504466906
2011-02-01,SELL,XLB,4460,29.149267196655273,130005.73169708252,195.0085975456238,129964.04063458157
2011-02-01,BUY,XLE,2875,45.079402923583984,129603.28340530396,194.40492510795593,166.35230416966078
2011-05-02,SELL,XLE,2875,48.315948486328125,138908.35189819336,208.36252784729004,138866.34167451574
2011-05-02,BUY,XLV,4968,27.879926681518555,138507.47575378418,207.76121363067625,151.1047071008943
2011-07-01,SELL,XLV,4968,28.299867630004883,140593.74238586426,210.89061357879638,140533.95647938637
2011-07-01,BUY,XLU,6707,20.899864196777344,140175.38916778564,210.2630837516785,148.30422784903203
2011-08-01,SELL,XLU,6707,20.523563385009766,137651.5396232605,206.47730943489074,137593.36654167465
2011-08-01,BUY,XLE,2944,46.61932373046875,137247.2890625,205.87093359375,140.2065455809061
2011-09-01,SELL,XLE,2944,41.59953689575195,122469.03662109375,183.7035549316406,122425.53961174302
2011-09-01,BUY,XLU,5879,20.770326614379883,122108.75016593933,183.16312524890898,133.62632055478753
2011-10-03,SELL,XLU,5879,20.452667236328125,120241.23068237305,180.36184602355956,120194.49515690428
2011-11-01,BUY,XLK,5719,20.96123695373535,119877.31413841248,179.8159712076187,137.36504728418367
2011-12-01,SELL,XLK,5719,21.35079574584961,122105.20087051392,183.15780130577087,122059.40811649233
2011-12-01,BUY,XLE,2817,43.20973587036133,121721.82594680786,182.5827389202118,154.99943076424825
2012-01-03,SELL,XLE,2817,43.743560791015625,123225.61074829102,184.8384161224365,123195.77176293283
2012-01-03,BUY,VNQ,3621,33.93132781982422,122865.3380355835,184.29800705337527,146.13572029594798
2012-02-01,SELL,VNQ,3621,36.14738845825195,130889.69360733032,196.3345404109955,130839.49478721527
2012-02-01,BUY,XLB,4607,28.323135375976562,130484.68467712402,195.72702701568602,159.08308307555853
2012-03-01,SELL,XLB,4607,28.194900512695312,129893.9066619873,194.84085999298094,129858.14888506988
2012-03-01,BUY,XLK,5343,24.24128532409668,129521.18748664856,194.28178122997284,142.67961719134473
2012-04-02,SELL,XLK,5343,25.454912185668945,136005.59580802917,204.00839371204376,135944.26703150847
2012-04-02,BUY,XLF,13464,10.071572303771973,135603.64949798584,203.40547424697877,137.2120592756546
2012-05-01,SELL,XLF,13464,9.862802505493164,132792.77293395996,199.18915940093993,132730.79583383468
2012-05-01,BUY,VNQ,3421,38.70103073120117,132396.2261314392,198.59433919715883,135.97536319831852
2012-06-01,SELL,VNQ,3421,35.66600036621094,122013.38725280762,183.02008087921143,121966.34253512672
2012-06-01,BUY,XLU,5356,22.711063385009766,121640.4554901123,182.46068323516846,143.42636177924578
2012-07-02,SELL,XLU,5356,23.891704559326172,127963.96961975098,191.94595442962648,127915.4500271006
2012-07-02,BUY,XLV,4162,30.655996322631836,127590.2566947937,191.38538504219056,133.80794726470776
2012-08-01,SELL,XLV,4162,30.881118774414062,128527.21633911133,192.79082450866701,128468.23346186736
2012-08-01,BUY,XLE,2948,43.46632385253906,128138.72271728516,192.20808407592773,137.30266050627688
2012-09-04,SELL,XLE,2948,44.08116912841797,129951.28659057617,194.9269298858643,129893.66232119658
2012-09-04,BUY,XLK,5068,25.5621395111084,129548.92304229736,194.32338456344604,150.41589433576155
2012-10-01,SELL,XLK,5068,25.895029067993164,131236.00731658936,196.85401097488403,131189.56919995023
2012-10-01,BUY,XLF,13091,9.996087074279785,130858.77588939667,196.288163834095,134.50514671947167
2012-12-03,SELL,XLF,13091,10.021621704101562,131193.04972839355,196.78957459259033,131130.76530052043
2012-12-03,BUY,XLY,3225,40.556800842285156,130795.68271636963,196.19352407455446,138.88906007625337
2013-01-02,SELL,XLY,3225,41.809757232666016,134836.4670753479,202.25470061302187,134773.10143481113
2013-01-02,BUY,XLV,4069,33.03810119628906,134432.0337677002,201.6480506515503,139.4196164594032
2013-04-01,SELL,XLV,4069,37.58673095703125,152940.40826416016,229.41061239624025,152850.41726822333
2013-04-01,BUY,XLF,13055,11.678081512451172,152457.35414505005,228.68603121757508,164.3770919557137
2013-05-01,SELL,XLF,13055,11.91653823852539,155570.40670394897,233.35561005592348,155501.42818584875
2013-05-01,BUY,XLU,5714,27.143596649169922,155098.51125335693,232.64776688003542,170.26916561179678
2013-06-03,SELL,XLU,5714,24.98640251159668,142772.30395126343,214.15845592689516,142728.41466094833
2013-06-03,BUY,XLV,3607,39.46322250366211,142343.84357070923,213.51576535606384,171.0553248830256
2013-07-01,SELL,XLV,3607,39.125545501708984,141125.8426246643,211.68876393699645,141085.20918561032
2013-07-01,BUY,XLF,11147,12.62459945678711,140726.4101448059,211.0896152172089,147.70942558720708
2013-09-03,SELL,XLF,11147,12.682831764221191,141375.52567577362,212.06328851366044,141311.17181284717
2013-09-03,BUY,XLY,2793,50.460514068603516,140936.21579360962,211.40432369041443,163.55169554712484
2013-10-01,SELL,XLY,2793,53.24836730957031,148722.68989562988,223.08403484344484,148663.15755633355
2013-10-01,BUY,XLB,4477,33.12053680419922,148280.6432723999,222.42096490859987,160.09331902503618
2013-11-01,SELL,XLB,4477,34.28239822387695,153482.29684829712,230.2234452724457,153412.1667220497
2013-11-01,BUY,VNQ,3565,42.91472625732422,152990.99910736084,229.48649866104125,191.68111602781573
2013-12-02,SELL,VNQ,3565,40.215965270996094,143369.91619110107,215.05487428665162,143346.54243284225
2013-12-02,BUY,XLI,3547,40.308563232421875,142974.4737854004,214.4617106781006,157.60693676376832
2014-03-03,SELL,XLI,3547,41.740814208984375,148054.66799926758,222.08200199890138,147990.19293403244
2014-03-03,BUY,VNQ,3325,44.38671875,147585.83984375,221.37875976562498,182.9743305168231
2014-05-01,SELL,VNQ,3325,46.24238204956055,153755.92031478882,230.63388047218325,153708.26076483345
2014-05-01,BUY,XLU,5137,29.845155715942383,153314.56491279602,229.97184736919402,163.72400466824183
2014-06-02,SELL,XLU,5137,29.391197204589844,150982.58003997803,226.47387005996703,150919.8301745863
2014-06-02,BUY,XLE,2463,61.09882354736328,150486.40239715576,225.72960359573364,207.69817383479676
2014-09-02,SELL,XLE,2463,62.865638732910156,154838.06819915771,232.25710229873658,154813.5092706938
2014-09-02,BUY,XLK,4403,35.07304000854492,154426.5951576233,231.63989273643494,155.27422033407493
2014-10-01,SELL,XLK,4403,34.340980529785156,151203.33727264404,226.80500590896605,151131.80648706915
2014-10-01,BUY,XLV,2853,52.82211685180664,150701.49937820435,226.05224906730652,204.2548597974819
2014-11-03,SELL,XLV,2853,56.25504684448242,160495.64864730835,240.7434729709625,160459.16003413487
2014-11-03,BUY,XLU,4995,32.03760528564453,160027.83840179443,240.04175760269166,191.27987473775283
2015-01-02,SELL,XLU,4995,33.50254821777344,167345.22834777832,251.0178425216675,167285.49037999441
2015-01-02,BUY,XLV,2900,57.5363883972168,166855.5263519287,250.2832895278931,179.68073853780515
2015-02-02,SELL,XLV,2900,58.39991760253906,169359.76104736328,254.03964157104494,169285.40214433003
2015-02-02,BUY,VNQ,3000,56.26884841918945,168806.54525756836,253.20981788635254,225.64706887531793
2015-04-01,SELL,VNQ,3000,55.20838165283203,165625.1449584961,248.43771743774414,165602.35430993367
2015-04-01,BUY,XLY,2474,66.75596618652344,165154.26034545898,247.7313905181885,200.36257395648863
2015-05-01,SELL,XLY,2474,67.93946838378906,168082.24478149414,252.12336717224122,168030.4839882784
2015-05-01,BUY,XLV,2743,61.10213851928711,167603.16595840454,251.4047489376068,175.91328093624907
2015-06-01,SELL,XLV,2743,63.25434494018555,173506.66817092896,260.2600022563934,173422.3214496088
2015-06-01,BUY,XLE,3369,51.3409423828125,172967.6348876953,259.45145233154295,195.2351095819613
