,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,265536.44169224164,455509.47631073
Total Return (%),165.53644169224162,356.1937669611718
CAGR (%),8.700180380389156,13.843173870060443
Volatility (%),30.36054239847325,16.82682181579732
Sharpe Ratio,0.28656208661234805,0.8226849978921287
Sortino Ratio,0.4201380908700486,0.9955481895680369
Max Drawdown (%),-45.24893805438216,-33.70335509598091
Calmar Ratio,0.19227369203522296,0.41073578077427747
Win Rate (%),51.30552729738894,55.13733468972533
Avg Win (%),1.3449785229786992,0.6878664946411703
Avg Loss (%),-1.3996396107081794,-0.7224516957779099
Total Trades,2950.0,2950.0
Alpha (%),-5.142993489671287,0.0
Relative Sharpe,-0.5361229112797806,0.0
Relative Max DD (%),-11.545582958401248,0.0
Relative Volatility (%),13.53372058267593,0.0
