date,equity,cash,position_value,position,shares
2013-04-12,100000.0,100000.0,0.0,,0
2013-04-15,100000.0,100000.0,0.0,,0
2013-04-16,100000.0,100000.0,0.0,,0
2013-04-17,100000.0,100000.0,0.0,,0
2013-04-18,100000.0,100000.0,0.0,,0
2013-04-19,100000.0,100000.0,0.0,,0
2013-04-22,100000.0,100000.0,0.0,,0
2013-04-23,100000.0,100000.0,0.0,,0
2013-04-24,100000.0,100000.0,0.0,,0
2013-04-25,100000.0,100000.0,0.0,,0
2013-04-26,100000.0,100000.0,0.0,,0
2013-04-29,100000.0,100000.0,0.0,,0
2013-04-30,100000.0,100000.0,0.0,,0
2013-05-01,100000.0,100000.0,0.0,,0
2013-05-02,100000.0,100000.0,0.0,,0
2013-05-03,100000.0,100000.0,0.0,,0
2013-05-06,100000.0,100000.0,0.0,,0
2013-05-07,100000.0,100000.0,0.0,,0
2013-05-08,100000.0,100000.0,0.0,,0
2013-05-09,100000.0,100000.0,0.0,,0
2013-05-10,100000.0,100000.0,0.0,,0
2013-05-13,100000.0,100000.0,0.0,,0
2013-05-14,100000.0,100000.0,0.0,,0
2013-05-15,100000.0,100000.0,0.0,,0
2013-05-16,100000.0,100000.0,0.0,,0
2013-05-17,100000.0,100000.0,0.0,,0
2013-05-20,100000.0,100000.0,0.0,,0
2013-05-21,100000.0,100000.0,0.0,,0
2013-05-22,100000.0,100000.0,0.0,,0
2013-05-23,100000.0,100000.0,0.0,,0
2013-05-24,100000.0,100000.0,0.0,,0
2013-05-28,100000.0,100000.0,0.0,,0
2013-05-29,100000.0,100000.0,0.0,,0
2013-05-30,100000.0,100000.0,0.0,,0
2013-05-31,100000.0,100000.0,0.0,,0
2013-06-03,99850.38283325195,105.60500122069789,99744.77783203125,PSX,2320
2013-06-04,98491.84859252929,105.60500122069789,98386.2435913086,PSX,2320
2013-06-05,96121.99599243164,105.60500122069789,96016.39099121094,PSX,2320
2013-06-06,98220.14174438476,105.60500122069789,98114.53674316406,PSX,2320
2013-06-07,99533.35463500976,105.60500122069789,99427.74963378906,PSX,2320
2013-06-10,98386.16957641601,105.60500122069789,98280.56457519531,PSX,2320
2013-06-11,96650.31142211914,105.60500122069789,96544.70642089844,PSX,2320
