date,action,symbol,shares,price,value,cost,cash_after
2013-06-03,BUY,PSX,2320,42.993438720703125,99744.77783203125,149.61716674804688,105.60500122069789
2013-07-01,SELL,PSX,2320,38.32192611694336,88906.8685913086,133.3603028869629,88879.11328964232
2013-07-01,BUY,EOG,1805,49.10146713256836,88628.14817428589,132.94222226142884,118.02289309501066
2013-08-01,SELL,EOG,1805,55.255126953125,99735.50415039062,149.60325622558594,99703.92378726005
2013-08-01,BUY,OKE,4354,22.839202880859375,99441.88934326172,149.16283401489258,112.87160998344189
2013-09-03,SELL,OKE,4354,22.016447067260742,95859.61053085327,143.7894157962799,95828.69272504044
2013-09-03,BUY,EOG,1660,57.56608963012695,95559.70878601074,143.33956317901612,125.64437585067935
2013-12-02,SELL,EOG,1660,60.01561737060547,99625.92483520508,149.43888725280763,99602.13032380295
2013-12-02,BUY,MPC,3233,30.723283767700195,99328.37642097473,148.9925646314621,124.76133819675306
2014-02-03,SELL,MPC,3233,29.644224166870117,95839.77673149109,143.75966509723662,95820.7784045906
2014-02-03,BUY,OKE,3331,28.689678192138672,95565.31805801392,143.34797708702087,112.11236948966689
2014-03-03,SELL,OKE,3331,29.358041763305664,97791.63711357117,146.68745567035677,97757.06202739048
2014-03-03,BUY,EOG,1414,68.92750549316406,97463.49276733398,146.19523915100098,147.37402090549585
2014-04-01,SELL,EOG,1414,72.0845718383789,101927.58457946777,152.89137686920168,101922.06722350407
2014-04-01,BUY,MPC,3214,31.627166748046875,101649.71392822266,152.474570892334,119.8787243890838
2014-05-01,SELL,MPC,3214,33.711151123046875,108347.63970947266,162.52145956420898,108304.99697429754
2014-05-01,BUY,COP,2092,51.63923263549805,108029.27467346191,162.04391201019286,113.67838882542856
2014-06-02,SELL,COP,2092,55.18677520751953,115450.73373413086,173.1761006011963,115391.2360223551
2014-06-02,BUY,WMB,4677,24.608509063720703,115093.99689102173,172.6409953365326,124.5981359968282
2014-08-01,SELL,WMB,4677,29.403278350830078,137519.13284683228,206.27869927024844,137437.45228355884
2014-08-01,BUY,KMI,6752,20.302675247192383,137083.66326904297,205.62549490356446,148.16351961230976
2014-10-01,SELL,KMI,6752,21.852975845336914,147551.29290771484,221.32693936157227,147478.12948796558
2014-10-01,BUY,COP,2801,52.51831817626953,147103.80921173096,220.65571381759642,153.66456241701962
2014-11-03,SELL,COP,2801,49.89796447753906,139764.1985015869,209.64629775238038,139708.21676625154
2014-11-03,BUY,MPC,4261,32.69875717163086,139329.4043083191,208.9941064624786,169.8183514699631
2015-01-02,SELL,MPC,4261,32.883872985839844,140118.18279266357,210.1772741889954,140077.82386994455
2015-01-02,BUY,KMI,5641,24.768428802490234,139718.7068748474,209.57806031227113,149.53893478485406
2015-03-02,SELL,KMI,5641,23.882713317871094,134722.38582611084,202.08357873916626,134669.84118215652
2015-03-02,BUY,MPC,3659,36.70345687866211,134297.94871902466,201.446923078537,170.4455400533334
2015-04-01,SELL,MPC,3659,36.69625473022461,134271.59605789185,201.40739408683777,134240.63420385835
2015-04-01,BUY,OKE,5329,25.123985290527344,133885.71761322021,200.8285764198303,154.08801421831595
2015-05-01,SELL,OKE,5329,25.60930061340332,136471.9629688263,204.70794445323943,136421.34303859138
2015-05-01,BUY,SLB,1965,69.22667694091797,136030.4201889038,204.0456302833557,186.87721940421034
2015-06-01,SELL,SLB,1965,67.85116577148438,133327.5407409668,199.99131111145022,133314.42664925955
2015-06-01,BUY,WMB,4730,28.108598709106445,132953.6718940735,199.43050784111023,161.32424734494998
2015-08-03,SELL,WMB,4730,28.64014434814453,135467.88276672363,203.20182415008549,135426.0051899185
2015-08-03,BUY,MPC,3503,38.55585861206055,135061.1727180481,202.59175907707217,162.2407127933402
2015-09-01,SELL,MPC,3503,33.574275970458984,117610.68872451782,176.41603308677674,117596.51340422439
2015-09-01,BUY,EOG,2097,55.924339294433594,117273.33950042725,175.91000925064088,147.26389454650052
2015-10-01,SELL,EOG,2097,54.136695861816406,113524.651222229,170.28697683334352,113501.62813994216
2015-10-01,BUY,CVX,2219,51.01901626586914,113211.19709396362,169.81679564094543,120.6142503375886
