,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,217233.68270615116,265415.3397369385
Total Return (%),117.23368270615117,165.81406082818074
CAGR (%),11.235882574476586,14.360331325374553
Volatility (%),33.68170938806288,19.075741275410017
Sharpe Ratio,0.333590033837733,0.7528059391267818
Sortino Ratio,0.4756359758509381,0.9040299385959618
Max Drawdown (%),-72.61352440473897,-33.69342849515565
Calmar Ratio,0.15473539766296346,0.4262057014304508
Win Rate (%),51.33514986376022,55.53133514986376
Avg Win (%),1.5484555459131288,0.7670991780416911
Avg Loss (%),-1.6499917204087624,-0.8258347214604304
Total Trades,1836.0,1836.0
Alpha (%),-3.124448750897967,0.0
Relative Sharpe,-0.41921590528904884,0.0
Relative Max DD (%),-38.92009590958332,0.0
Relative Volatility (%),14.60596811265286,0.0
