,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,300012.2072670479,219270.82666015625
Total Return (%),200.01220726704793,119.60022700065723
CAGR (%),21.987853539214907,15.292993593195693
Volatility (%),27.050606478743333,20.312635241696768
Sharpe Ratio,0.812841425810294,0.752880825713987
Sortino Ratio,1.1004801097482702,0.9129719304068783
Max Drawdown (%),-30.77054785668563,-33.71112208645036
Calmar Ratio,0.7145746524119012,0.4536483109039691
Win Rate (%),51.65229885057471,55.172413793103445
Avg Win (%),1.2580313020489335,0.8266786408575153
Avg Loss (%),-1.2949820834774375,-0.8758102578119428
Total Trades,1393.0,1393.0
Alpha (%),6.694859946019214,0.0
Relative Sharpe,0.05996060009630699,0.0
Relative Max DD (%),2.940574229764728,0.0
Relative Volatility (%),6.737971237046565,0.0
