,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,249255.8173449845,358097.560546875
Total Return (%),149.62928483656546,258.6355138176014
CAGR (%),9.13207587694551,12.975511848951093
Volatility (%),18.33557428155012,17.39227232464274
Sharpe Ratio,0.4980523509500609,0.7460504071435431
Sortino Ratio,0.7048981318981292,0.9040558715751648
Max Drawdown (%),-27.87051823176115,-33.70532796334761
Calmar Ratio,0.3276607848123408,0.3849691616429644
Win Rate (%),52.59764884338263,54.64543041334851
Avg Win (%),0.8532459237748906,0.7097368391541014
Avg Loss (%),-0.8967830755060056,-0.7387358724732138
Total Trades,2638.0,2638.0
Alpha (%),-3.843435972005583,0.0
Relative Sharpe,-0.2479980561934822,0.0
Relative Max DD (%),5.834809731586457,0.0
Relative Volatility (%),0.94330195690738,0.0
