date,equity,cash,position_value,position,shares
2014-07-09,99850.39115429687,111.16068554687081,99739.23046875,IWM,992
2014-07-10,98788.663859375,111.16068554687081,98677.50317382812,IWM,992
2014-07-11,98660.22123242187,111.16068554687081,98549.060546875,IWM,992
2014-07-14,99165.40165234375,111.16068554687081,99054.24096679688,IWM,992
2014-07-15,98189.33304882812,111.16068554687081,98078.17236328125,IWM,992
2014-07-16,97923.89554882812,111.16068554687081,97812.73486328125,IWM,992
2014-07-17,96416.99735546875,111.16068554687081,96305.83666992188,IWM,992
2014-07-18,97915.32816601562,111.16068554687081,97804.16748046875,IWM,992
2014-07-21,97521.48588085937,111.16068554687081,97410.3251953125,IWM,992
2014-07-22,98343.44755078125,111.16068554687081,98232.28686523438,IWM,992
2014-07-23,98463.3152265625,111.16068554687081,98352.15454101562,IWM,992
2014-07-24,98266.39408398437,111.16068554687081,98155.2333984375,IWM,992
2014-07-25,97375.90091992187,111.16068554687081,97264.740234375,IWM,992
2014-07-28,96887.87040234375,111.16068554687081,96776.70971679688,IWM,992
2014-07-29,97153.33817578125,111.16068554687081,97042.17749023438,IWM,992
2014-07-30,97538.62064648437,111.16068554687081,97427.4599609375,IWM,992
2014-07-31,95312.47855664062,111.16068554687081,95201.31787109375,IWM,992
2014-08-01,94592.07890947722,184.5622621383518,94407.51664733887,MDY,437
2014-08-04,95081.45676287077,184.5622621383518,94896.89450073242,MDY,437
2014-08-05,94630.03368242644,184.5622621383518,94445.47142028809,MDY,437
2014-08-06,94747.62546404265,184.5622621383518,94563.0632019043,MDY,437
2014-08-07,94391.00929888152,184.5622621383518,94206.44703674316,MDY,437
2014-08-08,95381.17410906218,184.5622621383518,95196.61184692383,MDY,437
2014-08-11,95802.2573762741,184.5622621383518,95617.69511413574,MDY,437
2014-08-12,95464.63193376921,184.5622621383518,95280.06967163086,MDY,437
2014-08-13,96276.46532305144,184.5622621383518,96091.90306091309,MDY,437
2014-08-14,96792.38884600066,184.5622621383518,96607.8265838623,MDY,437
2014-08-15,96568.56770952605,184.5622621383518,96384.0054473877,MDY,437
2014-08-18,97721.82068498991,184.5622621383518,97537.25842285156,MDY,437
2014-08-19,98306.02545793913,184.5622621383518,98121.46319580078,MDY,437
2014-08-20,98545.03650530241,184.5622621383518,98360.47424316406,MDY,437
2014-08-21,98708.17134722136,184.5622621383518,98523.60908508301,MDY,437
2014-08-22,98620.88603838347,184.5622621383518,98436.32377624512,MDY,437
2014-08-25,98966.11977251433,184.5622621383518,98781.55751037598,MDY,437
2014-08-26,99296.13025530241,184.5622621383518,99111.56799316406,MDY,437
2014-08-27,99159.58109148405,184.5622621383518,98975.0188293457,MDY,437
2014-08-28,99038.2018342819,184.5622621383518,98853.63957214355,MDY,437
2014-08-29,99478.26915605925,184.5622621383518,99293.7068939209,MDY,437
2014-09-02,99766.56406267546,184.5622621383518,99582.00180053711,MDY,437
2014-09-03,99618.61913164519,184.5622621383518,99434.05686950684,MDY,437
2014-09-04,99337.89917620085,184.5622621383518,99153.3369140625,MDY,437
2014-09-05,99705.85776384734,184.5622621383518,99521.29550170898,MDY,437
2014-09-08,99607.22336443327,184.5622621383518,99422.66110229492,MDY,437
2014-09-09,98810.59989031218,184.5622621383518,98626.03762817383,MDY,437
2014-09-10,98950.93652971648,184.5622621383518,98766.37426757812,MDY,437
2014-09-11,99421.35033281706,184.5622621383518,99236.78807067871,MDY,437
2014-09-12,98472.92777117155,184.5622621383518,98288.3655090332,MDY,437
2014-09-15,98082.20432146452,184.5622621383518,97897.64205932617,MDY,437
2014-09-16,98628.49433000945,184.5622621383518,98443.9320678711,MDY,437
2014-09-17,98537.43488176726,184.5622621383518,98352.8726196289,MDY,437
2014-09-18,98878.8544679489,184.5622621383518,98694.29220581055,MDY,437
2014-09-19,98274.37869890593,184.5622621383518,98089.81643676758,MDY,437
2014-09-22,96943.76117571257,184.5622621383518,96759.19891357422,MDY,437
