date,filter_type,filter_period,score,is_reeval
2014-07-08,EMA,12,0.0,False
2014-10-31,EMA,12,0.0,True
2015-01-30,EMA,25,11.938857717077061,True
2015-04-30,Double_EMA,25,116.95399596419239,True
2015-07-31,Double_EMA,25,112.94978899860205,True
2015-10-30,EMA,25,3.472713462657584,True
2016-01-29,Double_EMA,120,0.0,True
2016-04-29,TEMA,75,10.023085599557708,True
2016-07-29,TEMA,12,8.01611318253501,True
2016-10-31,TEMA,75,12.169538866489496,True
2017-01-31,TEMA,63,80.96996027828357,True
2017-05-31,Double_EMA,63,62.31343243290135,True
2017-08-31,EMA,45,100.75823244341834,True
2017-11-30,TEMA,12,235.1000383764948,True
2018-02-28,TEMA,12,62.73783831637611,True
2018-05-31,EMA,45,118.3629115100698,True
2018-08-31,Double_EMA,12,189.65224968129905,True
2018-11-30,Double_EMA,12,9.717309727869631,True
2019-02-28,EMA,12,7.915066219292394,True
2019-05-31,EMA,25,3.065102023601424,True
2019-08-30,Double_EMA,12,4.543141537595932,True
2019-11-29,Double_EMA,90,17.973462126166204,True
2020-02-28,Double_EMA,12,1.2213261950388346,True
2020-05-29,Double_EMA,45,2.6120804205534305,True
2020-08-31,Double_EMA,25,13.686049148515648,True
2020-11-30,Double_EMA,12,15.0043659558486,True
2021-03-31,TEMA,63,10257.19057060479,True
2021-06-30,TEMA,45,17320.48424075851,True
2021-09-30,EMA,63,17566.539738313113,True
2021-12-31,EMA,25,9950.52401419439,True
2022-03-31,EMA,12,828.0390692468296,True
2022-06-30,EMA,25,25.402960893024364,True
2022-09-30,Double_EMA,12,3.268608792511818,True
2022-12-30,Double_EMA,120,1.7350136785903512,True
2023-03-31,Double_EMA,105,3.733693293843446,True
2023-06-30,Double_EMA,105,25.47852791177763,True
2023-09-29,TEMA,63,5.418844563390807,True
2023-12-29,TEMA,105,53.75282866648385,True
2024-03-28,EMA,25,34.15138961159387,True
2024-06-28,EMA,25,35.108737408085695,True
2024-09-30,Double_EMA,90,48.23246669265072,True
