date,action,symbol,shares,price,value,cost,cash_after
2014-07-09,BUY,IWM,992,100.5435791015625,99739.23046875,149.608845703125,111.16068554687081
2014-08-01,SELL,IWM,992,95.5289077758789,94764.67651367188,142.1470147705078,94733.69018444823
2014-08-01,BUY,MDY,437,216.03550720214844,94407.51664733887,141.6112749710083,184.5622621383518
2014-10-01,SELL,MDY,437,213.9873809814453,93512.4854888916,140.2687282333374,93556.77902279662
2014-10-01,BUY,RSP,1504,62.04210662841797,93311.32836914062,139.96699255371095,105.48366110227653
2014-11-03,SELL,RSP,1504,64.79654693603516,97454.00659179688,146.18100988769532,97413.30924301146
2014-11-03,BUY,IWO,765,126.8688735961914,97054.68830108643,145.58203245162963,213.0389094734128
2014-12-01,SELL,IWO,765,125.66868591308594,96136.54472351074,144.20481708526611,96205.37881589889
2014-12-01,BUY,VO,929,103.2803955078125,95947.48742675781,143.92123114013674,113.97015800094232
2015-01-02,SELL,VO,929,104.75227355957031,97314.86213684082,145.97229320526122,97282.8600016365
2015-01-02,BUY,IWO,741,130.88442993164062,96985.3625793457,145.47804386901856,152.01937842176994
2015-06-01,SELL,IWO,741,141.81112670898438,105082.04489135742,157.62306733703613,105076.44120244216
2015-06-01,BUY,RSP,1526,68.67501068115234,104798.06629943848,157.19709944915772,121.17780355452851
2015-07-01,SELL,RSP,1526,67.42927551269531,102897.07443237305,154.34561164855955,102863.90662427901
2015-07-01,BUY,IWO,713,143.76785278320312,102506.47903442383,153.75971855163576,203.66787130355078
2015-09-01,SELL,IWO,713,129.4951629638672,92330.0511932373,138.49507678985597,92395.223987751
2015-09-01,BUY,VO,915,100.72152709960938,92160.19729614258,138.24029594421387,96.78639566421043
2015-11-02,SELL,VO,915,107.12904357910156,98023.07487487793,147.0346123123169,97972.82665822982
2015-11-02,BUY,RSP,1453,67.23165893554688,97687.60043334961,146.5314006500244,138.6948242301878
2015-12-01,SELL,RSP,1453,67.18103790283203,97614.04807281494,146.4210721092224,97606.3218249359
2015-12-01,BUY,IWO,708,137.41114807128906,97287.09283447266,145.93063925170898,173.2983512115461
2016-02-01,SELL,IWO,708,116.1457290649414,82231.17617797852,123.34676426696777,82281.12776492309
2016-02-01,BUY,IJR,1843,44.519996643066406,82050.35381317139,123.07553071975707,107.69842103194969
2016-05-02,SELL,IJR,1843,49.87883377075195,91926.69063949585,137.89003595924376,91896.49902456856
2016-05-02,BUY,RSP,1346,68.0909423828125,91650.40844726562,137.47561267089844,108.61496463204094
2016-08-01,SELL,RSP,1346,71.14387512207031,95759.65591430664,143.63948387145996,95724.63139506722
2016-08-01,BUY,IJR,1796,53.14854431152344,95454.7855834961,143.18217837524412,126.66363319588709
2016-09-01,SELL,IJR,1796,53.8841667175293,96775.96342468262,145.16394513702392,96757.46311274148
2016-09-01,BUY,IWN,1104,87.38015747070312,96467.69384765625,144.70154077148436,145.06772431374702
2016-10-03,SELL,IWN,1104,87.83511352539062,96969.96533203125,145.45494799804686,96969.57810834695
2016-10-03,BUY,IWO,692,139.6579132080078,96643.2759399414,144.9649139099121,181.33725449563644
2016-11-01,SELL,IWO,692,129.9569549560547,89930.21282958984,134.89531924438478,89976.65476484109
2016-11-01,BUY,IWN,1062,84.44031524658203,89675.61479187012,134.5134221878052,166.52655078316457
2017-06-01,SELL,IWN,1062,99.630126953125,105807.19482421875,158.71079223632813,105815.0105827656
2017-06-01,BUY,IWO,670,157.45526123046875,105495.02502441406,158.2425375366211,161.74302081491624
2017-09-01,SELL,IWO,670,161.69482421875,108335.5322265625,162.50329833984375,108334.77194903757
2017-09-01,BUY,RSP,1336,80.88629913330078,108064.09564208984,162.09614346313475,108.58016348459932
2017-10-02,SELL,RSP,1336,83.27788543701172,111259.25494384766,166.8888824157715,111200.94622491648
