date,action,symbol,shares,price,value,cost,cash_after
2010-01-04,BUY,EWT,6944,14.364166259765625,99744.7705078125,149.61715576171875,105.61233642578009
2010-02-01,SELL,EWT,6944,12.964359283447266,90024.51086425781,135.03676629638673,89995.08643438721
2010-03-01,BUY,EWZ,2499,35.91775894165039,89758.47959518433,134.6377193927765,101.96911981010635
2010-04-01,SELL,EWZ,2499,38.63425827026367,96547.01141738892,144.82051712608336,96504.16002007294
2010-04-01,BUY,EWY,2380,40.43965530395508,96246.37962341309,144.36956943511964,113.41082722473948
2010-05-03,SELL,EWY,2380,40.5415153503418,96488.80653381348,144.7332098007202,96457.4841512375
2010-08-02,BUY,EWT,6986,13.771942138671875,96210.78778076172,144.31618167114257,102.3801888046437
2010-09-01,SELL,EWT,6986,13.308926582336426,92976.16110420227,139.46424165630341,92939.07705135061
2010-10-01,BUY,EWZ,2292,40.43476104736328,92676.47232055664,139.01470848083497,123.59002231313207
2010-11-01,SELL,EWZ,2292,40.388160705566406,92569.6643371582,138.8544965057373,92554.3998629656
2010-11-01,BUY,EWY,2116,43.61882400512695,92297.43159484863,138.44614739227296,118.5221207246941
2011-08-01,SELL,EWY,2116,52.34679412841797,110765.81637573242,166.14872456359865,110718.18977189352
2011-11-01,BUY,EWY,2549,43.32175827026367,110427.1618309021,165.64074274635317,125.38719824506552
2012-11-01,SELL,EWY,2549,46.492557525634766,118509.52913284302,177.76429369926453,118457.15203738882
2012-12-03,BUY,EWY,2474,47.749332427978516,118131.84842681885,177.19777264022827,148.10583792974649
2013-05-01,SELL,EWY,2474,46.57251739501953,115220.40803527832,172.8306120529175,115195.68326115515
2013-05-01,BUY,FXI,4234,27.13383674621582,114884.66478347778,172.3269971752167,138.69148050215153
2013-06-03,SELL,FXI,4234,26.659603118896484,112876.75960540771,169.31513940811158,112846.13594650176
2013-07-01,BUY,EWT,7205,15.62154483795166,112553.23055744171,168.82984583616258,124.07554322388023
2013-10-01,SELL,EWT,7205,16.54458236694336,119203.7159538269,178.80557393074037,119148.98592312004
2013-11-01,BUY,EWT,7059,16.83668327331543,118850.14722633362,178.27522083950043,120.56347594692488
2013-12-02,SELL,EWT,7059,16.556264877319336,116870.67376899719,175.30601065349578,116815.93123429062
2013-12-02,BUY,EWY,2264,51.451995849609375,116487.31860351562,174.73097790527345,153.8816528697207
2014-02-03,SELL,EWY,2264,46.947303771972656,106288.6957397461,159.43304360961912,106283.1443490062
2014-03-03,BUY,EWY,2142,49.48786163330078,106002.99961853027,159.00449942779542,121.14023104812077
2014-06-02,SELL,EWY,2142,52.828983306884766,113159.68224334717,169.73952336502077,113111.08295103027
2014-06-02,BUY,EWZ,4207,26.815868377685547,112814.3582649231,169.22153739738465,127.50314870978764
2014-08-01,SELL,EWZ,4207,28.985525131225586,121942.10422706604,182.91315634059907,121886.69421943523
2014-09-02,BUY,EWZ,3793,32.0475959777832,121556.53154373169,182.33479731559754,147.82787838795048
2014-10-01,SELL,EWZ,3793,24.918636322021484,94516.38756942749,141.77458135414125,94522.4408664613
2014-10-01,BUY,FXI,3295,28.609506607055664,94268.32427024841,141.40248640537263,112.71410980750807
2015-02-02,SELL,FXI,3295,32.43598556518555,106876.57243728638,160.31485865592958,106828.97168843796
2015-03-02,BUY,FXI,3142,33.91316223144531,106555.15573120117,159.83273359680175,113.98322363998159
2015-07-01,SELL,FXI,3142,35.54964828491211,111696.99491119385,167.54549236679077,111643.43264246704
2015-08-03,BUY,EWT,6369,17.48433494567871,111357.72926902771,167.0365939035416,118.66677953579347
2015-09-01,SELL,EWT,6369,15.748042106628418,100299.2801771164,150.4489202656746,100267.49803638652
2015-11-02,BUY,EWY,2187,45.730064392089844,100011.65082550049,150.01747623825074,105.82973464777751
