date,equity,cash,position_value,position,shares
2004-10-08,100000.0,100000.0,0.0,,0
2004-10-11,100000.0,100000.0,0.0,,0
2004-10-12,100000.0,100000.0,0.0,,0
2004-10-13,100000.0,100000.0,0.0,,0
2004-10-14,100000.0,100000.0,0.0,,0
2004-10-15,100000.0,100000.0,0.0,,0
2004-10-18,100000.0,100000.0,0.0,,0
2004-10-19,100000.0,100000.0,0.0,,0
2004-10-20,100000.0,100000.0,0.0,,0
2004-10-21,100000.0,100000.0,0.0,,0
2004-10-22,100000.0,100000.0,0.0,,0
2004-10-25,100000.0,100000.0,0.0,,0
2004-10-26,100000.0,100000.0,0.0,,0
2004-10-27,100000.0,100000.0,0.0,,0
2004-10-28,100000.0,100000.0,0.0,,0
2004-10-29,100000.0,100000.0,0.0,,0
2004-11-01,100000.0,100000.0,0.0,,0
2004-11-02,100000.0,100000.0,0.0,,0
2004-11-03,100000.0,100000.0,0.0,,0
2004-11-04,100000.0,100000.0,0.0,,0
2004-11-05,100000.0,100000.0,0.0,,0
2004-11-08,100000.0,100000.0,0.0,,0
2004-11-09,100000.0,100000.0,0.0,,0
2004-11-10,100000.0,100000.0,0.0,,0
2004-11-11,100000.0,100000.0,0.0,,0
2004-11-12,100000.0,100000.0,0.0,,0
2004-11-15,100000.0,100000.0,0.0,,0
2004-11-16,100000.0,100000.0,0.0,,0
2004-11-17,100000.0,100000.0,0.0,,0
2004-11-18,100000.0,100000.0,0.0,,0
2004-11-19,100000.0,100000.0,0.0,,0
2004-11-22,100000.0,100000.0,0.0,,0
2004-11-23,100000.0,100000.0,0.0,,0
2004-11-24,100000.0,100000.0,0.0,,0
2004-11-26,100000.0,100000.0,0.0,,0
2004-11-29,100000.0,100000.0,0.0,,0
2004-11-30,100000.0,100000.0,0.0,,0
2004-12-01,100000.0,100000.0,0.0,,0
2004-12-02,100000.0,100000.0,0.0,,0
2004-12-03,100000.0,100000.0,0.0,,0
2004-12-06,100000.0,100000.0,0.0,,0
