,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,69815.38624732112,682312.7356719971
Total Return (%),-30.184613752678878,583.3377422854252
CAGR (%),-1.7628578859541388,13.696106637925332
Volatility (%),21.81558177813497,17.04692234655096
Sharpe Ratio,-0.08080728278908393,0.8034357381053251
Sortino Ratio,-0.09187346913682337,0.9833305492986111
Max Drawdown (%),-53.685640853256885,-33.71048261124458
Calmar Ratio,0.03283667397717566,0.4062862818035365
Win Rate (%),34.715127701375245,55.302226935312824
Avg Win (%),1.20071729406322,0.7005347741490362
Avg Loss (%),-1.2630787595612072,-0.7450758374010741
Total Trades,5091.0,3773.0
Alpha (%),-15.458964523879471,0.0
Relative Sharpe,-0.884243020894409,0.0
Relative Max DD (%),-19.975158242012306,0.0
Relative Volatility (%),4.768659431584009,0.0
