,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,158528.36623017793,682312.6285552979
Total Return (%),58.52836623017792,583.3376350078096
CAGR (%),1.863725254330184,13.696105445769401
Volatility (%),11.33555856905092,17.046926879137775
Sharpe Ratio,0.16441406420135732,0.8034354545469924
Sortino Ratio,0.15666948747714735,0.9833300440061872
Max Drawdown (%),-28.45817376715165,-33.71046800417605
Calmar Ratio,0.06548998082517234,0.4062864224867103
Win Rate (%),29.807539366947672,55.302226935312824
Avg Win (%),0.6354456048453226,0.7005349536525823
Avg Loss (%),-0.7098599668916044,-0.7450760631358877
Total Trades,6288.0,3773.0
Alpha (%),-11.832380191439217,0.0
Relative Sharpe,-0.6390213903456351,0.0
Relative Max DD (%),5.252294237024401,0.0
Relative Volatility (%),-5.711368310086854,0.0
