date,action,bucket,symbol,shares,price,value,cost,cash_after
2010-01-04,BUY,AI_US_Large_Cap,VNQ,2491,24.021053314208984,59836.44380569458,89.75466570854186,40073.80152859688
2010-01-04,BUY,AI_Global_Developed,EWC,825,19.38055419921875,15988.957214355469,23.983435821533206,24060.860878419877
2010-02-01,SELL,AI_US_Large_Cap,VNQ,2491,23.206878662109375,57808.33474731445,86.71250212097168,81782.48312361336
2010-02-01,SELL,AI_Global_Developed,EWC,825,17.926288604736328,14789.18809890747,22.183782148361207,96549.48744037247
2010-02-01,BUY,AI_US_Large_Cap,XLV,2400,24.07123374938965,57770.960998535156,86.65644149780275,38691.870000339506
2010-02-01,BUY,AI_Global_Developed,EWJ,501,30.76136016845703,15411.441444396973,23.11716216659546,23257.311393775937
2010-03-01,SELL,AI_US_Large_Cap,XLV,2400,24.254871368408203,58211.69128417969,87.31753692626953,81381.68514102936
2010-03-01,SELL,AI_Global_Developed,EWJ,501,31.070842742919922,15566.49221420288,23.349738321304322,96924.82761691094
2010-03-01,BUY,AI_US_Large_Cap,VNQ,2390,24.269073486328125,58003.08563232422,87.00462844848633,38834.73735613824
2010-03-01,BUY,AI_Global_Developed,EWC,814,19.034988403320312,15494.480560302734,23.241720840454104,23317.01507499505
2010-04-01,SELL,AI_US_Large_Cap,VNQ,2390,26.65135955810547,63696.74934387207,95.54512401580811,86918.21929485131
2010-04-01,SELL,AI_Global_Developed,EWC,814,20.46045684814453,16654.81187438965,24.98221781158447,103548.04895142937
2010-04-01,BUY,AI_US_Large_Cap,VNQ,2325,26.65135955810547,61964.410972595215,92.94661645889283,41490.69136237526
2010-04-01,BUY,AI_Global_Developed,EWA,1338,12.365331649780273,16544.813747406006,24.81722062110901,24921.060394348147
2010-05-03,SELL,AI_US_Large_Cap,VNQ,2325,29.356698989868164,68254.32515144348,102.38148772716522,93073.00405806446
2010-05-03,SELL,AI_Global_Developed,EWA,1338,11.9913911819458,16044.481401443481,24.066722102165222,109093.41873740577
2010-05-03,BUY,AI_US_Large_Cap,VNQ,2224,29.356698989868164,65289.2985534668,97.9339478302002,43706.18623610877
2010-05-03,BUY,AI_Global_Developed,EWA,1454,11.9913911819458,17435.482778549194,26.15322416782379,26244.55023339175
2010-06-01,SELL,AI_US_Large_Cap,VNQ,2224,26.336286544799805,58571.901275634766,87.85785191345215,84728.59365711306
2010-06-01,SELL,AI_Global_Developed,EWA,1454,9.843754768371582,14312.81943321228,21.46922914981842,99019.94386117552
