,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,82583.38748350863,682312.7445983887
Total Return (%),-17.41661251649137,583.3377512252265
CAGR (%),-0.76397412758622,13.696106737271663
Volatility (%),13.751610508607715,17.046922541391744
Sharpe Ratio,-0.055555247664120226,0.803435734750132
Sortino Ratio,-0.054256186018693975,0.9833300029088095
Max Drawdown (%),-42.20258323685325,-33.71047037392949
Calmar Ratio,0.018102544180733524,0.4062864322374973
Win Rate (%),29.91888022904406,55.302226935312824
Avg Win (%),0.7727079047031792,0.7005346260055834
Avg Loss (%),-0.857348015242765,-0.7450756513599545
Total Trades,720.0,1.0
Alpha (%),-14.460080864857883,0.0
Relative Sharpe,-0.8589909824142522,0.0
Relative Max DD (%),-8.492112862923761,0.0
Relative Volatility (%),-3.295312032784029,0.0
