date,action,bucket,symbol,shares,price,value,cost,cash_after
2010-01-04,BUY,AI_US_Sectors_Basic,XLK,1325,18.809371948242188,24922.4178314209,37.383626747131345,75040.19854183197
2010-01-04,BUY,AI_Global_Developed,EWC,1286,19.380556106567383,24923.395153045654,37.385092729568484,50079.41829605674
2010-01-04,BUY,AI_Emerging_Markets,EWT,1734,14.364171028137207,24907.472562789917,37.36120884418487,25134.58452442264
2010-01-04,BUY,AI_Real_Assets,XME,568,43.8418083190918,24902.14712524414,37.35322068786621,195.08417849063335
2010-02-01,SELL,AI_US_Sectors_Basic,XLK,1325,17.136180877685547,22705.43966293335,34.05815949440003,22866.46568192958
2010-02-01,BUY,AI_US_Sectors_Basic,XLV,941,24.071231842041016,22651.029163360596,33.9765437450409,181.45997482394523
2010-02-01,SELL,AI_Global_Developed,EWC,1286,17.92629051208496,23053.20959854126,34.579814397811894,23200.08975896739
2010-02-01,BUY,AI_Global_Developed,EWJ,736,30.761369705200195,22640.368103027344,33.96055215454102,525.7611037855058
2010-02-01,SELL,AI_Emerging_Markets,EWT,1734,12.964359283447266,22480.19899749756,33.72029849624634,22972.23980278682
2010-02-01,BUY,AI_Emerging_Markets,EWY,620,36.45915222167969,22604.674377441406,33.90701156616211,333.6584137792488
2010-02-01,SELL,AI_Real_Assets,XME,568,39.54010772705078,22458.781188964844,33.68817178344727,22758.751430960645
2010-02-01,BUY,AI_Real_Assets,GLD,208,108.3499984741211,22536.799682617188,33.805199523925786,188.14654881953174
2010-03-01,SELL,AI_US_Sectors_Basic,XLV,941,24.254873275756836,22823.835752487183,34.23575362873078,22977.746547677983
2010-03-01,BUY,AI_US_Sectors_Basic,XLY,889,25.539424896240234,22704.54873275757,34.05682309913635,239.14099182127757
2010-03-01,SELL,AI_Global_Developed,EWJ,736,31.07082748413086,22868.129028320312,34.302193542480474,23072.96782659911
2010-03-01,BUY,AI_Global_Developed,EWC,1192,19.034990310668945,22689.708450317383,34.034562675476074,349.2248136062517
2010-03-01,SELL,AI_Emerging_Markets,EWY,620,36.22408676147461,22458.933792114258,33.688400688171384,22774.47020503234
2010-03-01,BUY,AI_Emerging_Markets,EWZ,631,35.91775131225586,22664.101078033447,33.996151617050174,76.37297538184066
2010-03-01,SELL,AI_Real_Assets,GLD,208,109.43000030517578,22761.440063476562,34.14216009521485,22803.670878763187
2010-03-01,BUY,AI_Real_Assets,XME,534,42.41059875488281,22647.259735107422,33.97088960266113,122.44025405310458
2010-04-01,SELL,AI_Global_Developed,EWC,1192,20.460453033447266,24388.86001586914,36.58329002380371,24474.716979898443
2010-04-01,BUY,AI_Global_Developed,EWA,1980,12.365333557128906,24483.360443115234,36.72504066467285,-45.368503881465585
2010-05-03,SELL,AI_Emerging_Markets,EWZ,631,37.01054382324219,23353.65315246582,35.03047972869873,23273.254168855656
2010-05-03,BUY,AI_Emerging_Markets,EWY,596,40.5415153503418,24162.74314880371,36.24411472320557,-925.7330946712609
2010-06-01,SELL,AI_Global_Developed,EWA,1980,9.843754768371582,19490.634441375732,29.2359516620636,18535.665395042408
2010-06-01,BUY,AI_Global_Developed,EWC,1114,18.617429733276367,20739.816722869873,31.109725084304806,-2235.26105291177
2010-06-01,SELL,AI_Real_Assets,XME,534,39.231990814208984,20949.883094787598,31.4248246421814,18683.197217233646
2010-06-01,BUY,AI_Real_Assets,VNQ,787,26.33629035949707,20726.660512924194,31.08999076938629,-2074.5532864599336
2010-07-01,SELL,AI_US_Sectors_Basic,XLY,889,24.32084846496582,21621.234285354614,32.43185142803192,19514.24914746665
2010-07-01,SELL,AI_Global_Developed,EWC,1114,17.836069107055664,19869.38098526001,29.80407147789002,39353.826061248765
2010-07-01,SELL,AI_Emerging_Markets,EWY,596,35.39154052734375,21093.358154296875,31.640037231445312,60415.544178314194
2010-07-01,SELL,AI_Real_Assets,VNQ,787,25.406208038330078,19994.68572616577,29.99202858924866,80380.23787589071
2010-07-01,BUY,AI_Real_Assets,GLD,171,117.04000091552734,20013.840156555176,30.020760234832764,60336.37695910071
2010-09-01,SELL,AI_Real_Assets,GLD,171,121.69000244140625,20808.99041748047,31.213485626220702,81114.15389095496
2010-10-01,BUY,AI_US_Sectors_Basic,XLU,1072,18.85231590270996,20209.682647705078,30.31452397155762,60874.156719278326
2010-10-01,BUY,AI_Global_Developed,EWC,984,20.532133102416992,20203.61897277832,30.305428459167484,40640.23231804084
2010-10-01,BUY,AI_Emerging_Markets,EWY,471,42.90169143676758,20206.69666671753,30.310045000076293,20403.225606323238
2010-10-01,BUY,AI_Real_Assets,GDX,408,49.45935821533203,20179.41815185547,30.2691272277832,193.53832723998494
2010-11-01,SELL,AI_Global_Developed,EWC,984,21.039459228515625,20702.827880859375,31.05424182128906,20865.31196627807
2010-11-01,BUY,AI_Global_Developed,EWU,1069,19.101539611816406,20419.54584503174,30.62931876754761,415.1368024787844
