,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,123006.16321481275,682312.6553344727
Total Return (%),23.006163214812748,583.3376618272135
CAGR (%),0.8332904429982024,13.696105743808396
Volatility (%),14.154332367880206,17.046924096368382
Sharpe Ratio,0.05887175893150221,0.8034356031846336
Sortino Ratio,0.05745765122481768,0.983329898658411
Max Drawdown (%),-36.84678401382444,-33.71046552340825
Calmar Ratio,0.02261501146709473,0.406286461226646
Win Rate (%),30.205185303006203,55.302226935312824
Avg Win (%),0.7858734597811435,0.7005346816626197
Avg Loss (%),-0.8651895126732938,-0.7450757261845881
Total Trades,553.0,1.0
Alpha (%),-12.862815300810194,0.0
Relative Sharpe,-0.7445638442531314,0.0
Relative Max DD (%),-3.136318490416187,0.0
Relative Volatility (%),-2.892591728488176,0.0
