date,filter_type,filter_period,score,is_reeval
2007-10-04,EMA,12,0.0,False
2008-01-03,TEMA,105,8.038398881660202,True
2008-04-03,TEMA,105,0.7394714072242233,True
2008-07-10,TEMA,105,1.8711281403641242,True
2008-10-09,Double_EMA,90,-1.066117697706685,True
2009-01-08,TEMA,120,-0.6746481459377578,True
2009-04-16,TEMA,120,-0.7476225623058841,True
2009-07-16,TEMA,90,-0.6668290213310394,True
2009-10-15,TEMA,45,-0.08862728750861983,True
2010-01-14,TEMA,45,0.16325725702878666,True
2010-04-15,TEMA,45,0.6704315983138026,True
2010-07-15,TEMA,45,0.462341017821125,True
2010-10-14,TEMA,45,0.8943013733401287,True
2011-01-13,TEMA,45,1.078960244499569,True
2011-04-14,TEMA,45,1.384278396985034,True
2011-07-14,TEMA,45,1.2879069036338546,True
2011-10-13,TEMA,45,0.99586120816526,True
2012-01-12,TEMA,120,1.4070509687137658,True
2012-04-12,TEMA,120,1.8052397070313482,True
2012-07-12,TEMA,105,2.121410192637859,True
2012-10-11,TEMA,90,2.358463573791645,True
2013-01-10,Double_EMA,63,2.160628727235594,True
2013-04-11,TEMA,45,3.145007750101761,True
2013-07-11,TEMA,45,3.717451619275048,True
2013-10-10,TEMA,25,4.492520856795923,True
2014-01-09,TEMA,25,3.9479176821649316,True
2014-04-10,TEMA,25,3.210082647887816,True
2014-07-10,TEMA,25,3.2547158023889144,True
2014-10-09,TEMA,25,2.6757249307859112,True
2015-01-08,TEMA,120,3.509971972678644,True
2015-04-09,TEMA,105,4.197640707950435,True
2015-07-09,TEMA,105,4.487999379471874,True
2015-10-08,TEMA,105,3.065842026414778,True
2016-01-07,TEMA,105,2.5361304906051183,True
2016-04-07,TEMA,105,2.7829200695860083,True
2016-07-07,Double_EMA,120,2.9324964134911866,True
2016-10-06,Double_EMA,12,1.8779719195434177,True
2017-01-05,Double_EMA,12,2.053197509612013,True
2017-04-06,Double_EMA,12,2.3125051386059994,True
2017-07-06,EMA,45,2.233899501353325,True
2017-10-05,EMA,12,1.9932759049310504,True
2018-01-04,EMA,12,2.0702052758303666,True
2018-04-05,EMA,12,2.2002447646658743,True
2018-07-05,EMA,12,2.171820029555494,True
2018-10-04,EMA,12,2.646919512035,True
2019-01-03,EMA,12,1.5078392366535507,True
2019-04-04,EMA,12,1.9699923478290418,True
2019-07-03,EMA,12,2.144781506904366,True
2019-10-03,TEMA,120,1.962287026934842,True
2020-01-02,Double_EMA,105,2.6349163449481843,True
2020-04-02,TEMA,90,1.0811492997415892,True
2020-07-09,Double_EMA,105,2.6996363658054103,True
2020-10-08,Double_EMA,90,3.4589625850592802,True
2021-01-07,Double_EMA,75,3.219929838172374,True
2021-04-08,TEMA,63,3.779733064123046,True
2021-07-08,TEMA,63,4.019195995561565,True
2021-10-07,TEMA,63,3.521899391899532,True
2022-01-06,EMA,12,3.5553799041086664,True
2022-04-07,EMA,12,5.019990598918025,True
2022-07-07,EMA,12,3.5672431851850455,True
2022-10-06,TEMA,90,3.4458608518712626,True
2023-01-05,TEMA,63,4.065660145492066,True
2023-04-13,TEMA,63,3.505173619681092,True
2023-07-13,Double_EMA,63,3.884398422795277,True
2023-10-12,TEMA,90,3.5584524770541144,True
2024-01-11,TEMA,75,3.552746958046565,True
2024-04-11,TEMA,63,3.901750307695543,True
2024-07-11,Double_EMA,63,4.24479329790441,True
2024-10-10,EMA,12,4.027524000491779,True
